item_type,Product_id,Product_sku
Product,13726,RP-4909BN-2
Product,13727,LLL-LY41RCD
Product,13728,WL-6400500
Product,13729,WL-6323300
Product,13730,WL-6400600
Product,13731,WL-6401000
Product,13732,WL-6401100
Product,13733,WL-6429100
Product,13734,PI-PT-WPH3-HW
Product,13735,AEL-LRHB4-40-VH-A-M
Product,13736,WSD-RPC-S4
Product,13737,WSD-RPC-S5
Product,13738,AEL-CLD24-40-HM-B20-ALHINS-SY-M-1-90-AM
Product,13739,SW-SWX-101-D
Product,13740,SW-SWX-103-D
Product,13741,WM-CRLC4-40W-MCTP
Product,13742,SW-SWX-111-D
Product,13743,SW-SWX-113-D
Product,13744,SW-SWX-121-D
Product,13745,SW-SWX-123-D
Product,13746,SW-SWX-131-D
Product,13747,SW-SWX-133-D
Product,13748,SW-SWX-201-2
Product,13749,SW-SWX-202-2
Product,13750,SW-SWX-211
Product,13751,SW-SWX-212
Product,13752,SW-SWX-221-2
Product,13753,SW-SWX-222-2
Product,13754,SW-SWX-231
Product,13755,SW-SWX-232
Product,13756,SW-SWX-401-2
Product,13757,SW-SWX-421-2
Product,13758,AEL-BAX14-40-ML-B14-375P-PP125-M
Product,13759,AEL-BAU-40-M-M
Product,13760,LOD-LOC-ELHB-MW(80/100/150)MCCT(30/40/50)-LV
Product,13761,SW-SWX-402-2
Product,13762,SW-SWX-250-1
Product,13763,SW-SWX-250-2
Product,13764,SW-SWX-501
Product,13765,RP-1073LED-OB-WT-PC  
Product,13766,FL-ETH-HBE-4-225W-5K
Product,13767,FL-ETH-LSPT-8-65W
Product,13768,ELI-E5T4A2534D-83550
Product,13769,FL-ETH-HBE-4-210W-5K 
Product,13770,FL-ETH-PLBT-22-40W
