product_id,parent_sku
4233,ML-RG-22LED28DMV
4234,PI-PT-AL1-100W-50F-W
4236,LT-WCED-3UD-DOB
4237,ML-RGAIR-24LED
4238,ML-RGAIR-22LED
4239,ML-RAV-24LED
4240,LT-WCED-4D-DOB
4241,ML-RAV-22LED
4244,PI-PT-AL1-100W-50F
4245,LT-WCED-4UD-DOB
4246,ML-RP-229LED
4247,ML-RWW-48LED
4250,ML-RWW-24LED
4251,LT-WCED-4SD-DOB
4252,ML-RDISD-24LED
4253,ML-RDISD-22LED
4254,ML-RGCRV-24LED
4255,ML-RGCRV-22LED
4256,ML-SKY-24LED
4257,LT-WCED-4SUD-DOB
4258,ML-SKY-22LED
4259,ML-RDISE-24LED
4260,ML-RDISE-14LED
4261,ML-RDISE-22LED
4262,ML-RDISA-24LED
4263,LT-WCED-3DC
4264,ML-RDISA-22LED
4266,ML-MFPELA-22LED36DMV
4267,ML-MFPELA-14LED36DMV
4268,LT-WCED-3DP
4269,ML-SKB-24LED50DMVWH
4270,ML-SKB-14LED40DMVWH
4271,ML-SKB-22LED40DMVWH
4272,ML-LLCFR
4273,ML-LLCSR
4274,ML-LD23-R96LED
4275,ML-LD23-R48LED
4276,ML-WP
4277,ML-MFLBD
4278,ML-STWR
4279,ML-PWL-48LED
4281,ML-CL45-96LED
4282,ML-CL45-48LED
4283,ML-LI-WMS96LED
4284,ML-LI-WMS48LED
4285,ML-79
4286,ML-74
4288,ML-L23-W96LED1U2D
4289,ML-L23-W48LED1U2D
4290,ML-L23-W96LED
4291,ML-L23-W48LED
4292,ML-MDC-48LED
4296,LT-WCED-3DP-S
4297,ML-C15-48LED
4298,ML-C9-48LED
4299,ML-C15-24LED
4307,ML-C26-24LED
4308,ML-MCE-48LED
4309,ML-MCH-W48LED96DMVWHMW
4310,ML-MCH-48LED
4311,ML-MCH-W24LED48DMVWHMW
4313,ML-MCH-24LED
4314,ML-CLP-48LED
4315,ML-CLP-24LED
4316,ML-CLP
4318,ML-MW4A
4319,ML-15-48LED
4320,ML-15-24LED
4321,ML-772N-96LED
4322,ML-772N-48LED
4323,ML-772W
4324,LT-WCED-4DC
4326,ML-770-48LED
4328,ML-769W-48LED
4329,ML-769-48LED
4330,ML-769-24LED
4331,LT-WCED-4DP
4332,ML-771-96LED
4333,ML-771-48LED
4334,ML-SRG-24LED
4335,ML-SRG-14LED
4336,ML-SRG-22LED
4337,ML-L66-S96LED
4338,ML-L66-S48LED
4340,ML-L44-S96LED
4341,ML-L44-S48LED
4342,ML-L23-S96LED
4343,ML-L23-S48LED
4344,ML-DIS-96LED
4345,ML-DIS-48LED
4346,ML-DLV6-96LED
4348,ML-DLV6-48LED
4349,ML-LI-S96LED2U1D
4350,ML-LI-S48LED2U1D
4351,ML-LL
4352,ML-LL-P96LEDD96DMVWHFR
4353,ML-LL-P48LEDD48DMVWHFR
4354,ML-LPLIA-96LED1U2D
4355,ML-LPLIA-48LED1U2D
4356,ML-LLCSB
4357,ML-LLCSA
4358,ML-LLCRB
4359,ML-LLCRA
4360,ML-AIOCSW
4361,ML-AIOCSR-A4X8LED210DMV
4362,ML-AIOCBF
4363,ML-AIOCSB-S
4364,ML-AIOCSA-S
4365,ML-AIOCSB-P
4366,ML-AIOCSA-P
4367,MI-CVN-
4368,MI-CVN
4369,ML-SQ44-4X4LED
4370,ML-L66-P96LED1U2D
4371,ML-L66-P48LED1U2D
4372,LT-WCED-4DP-S
4373,ML-L66-P96LED
4374,ML-L66-P48LED
4375,ML-L45-P96LED1U2D
4376,ML-L45-P48LED1U2D
4377,MI-JB-
4378,MI-JB
4379,ML-ATP
4380,ML-L44IR
4381,MI-ER
4382,ML-L44-P96LED
4383,ML-L44-P48LED
4384,ML-LD23-96LED
4385,ML-LDA
4386,ML-L23-P96LED1U2D
4387,ML-L23-P48LED1U2D
4388,ML-L23-P96LED
4389,ML-L23-P48LED
4390,ML-41-96LED
4391,ML-41-48LED
4392,MI-CVD-
4393,MI-CVD
4394,ML-42T-48LED
4395,ML-42
4396,ML-10T5SW
4397,ML-10T5S
4398,ML-10T5W
4399,ML-10T5
4400,MI-SLT
4401,ML-1FSF
4402,ML-44RSF-96LED
4403,ML-44RSF-48LED
4404,ML-44RSR-96LED
4405,ML-44RSR-48LED
4408,ML-42E
4409,LT-WCED-4SDC
4410,ML-1-96LED
4411,ML-1-48LED
4412,ML-44FSF
4413,LT-WCED-4SDP-S
4414,ML-LD23-48LED
4415,MI-EL
4416,ML-VWHBS
4417,ML-VWFHB
4418,ML-HBRMSR
4419,ML-FHBX-96LED
