product_id,parent_sku,"Light Source","Fixture Size","Color Rendering Index (CRI)","Lumen Output","Color Temperature","Total Input Watts","Ballast and Voltage","Listings and Ratings","Driver Type","Luminaire Efficacy Rating (LER)","L70 Expected Life (hours)","Lamp Count","Pack Size","Total Input Watt","Color Temperature (CCT)","Max Ambient Temp",__alsobought,"Max Color Rendering Index (CRI)Temp","Lamp Type",Base,Bulb,Watts,"Initial Lumens","Mean Lumens","Color Temp. (deg K)","Color Rendition Index (CRI)",Coating,"Lamp Life (3hrs. per start)","Lamp Life (12hrs. per start)","MOL (in / mm)","MOD (in / mm)",Manufacturer,"Ballast Technology","Ballast Type","Lamp Wattage","Line Voltage","Starting Type","Ballast Factor","Insulation Rating",Pack,"Total Inputs","L70 Expected Hours (hours)","Pack size","Rated Life",Warranty,"Color Rendering Index","Expected Life (hours)","Color Rendering index (CRI)","Max Ambient","Light Soure","L70 Expected Life Hours","Fixture Watts",DriverType,"Total Input  Watts","Color Rendering Imdex (CRI)","L70 Expected Life (hour)","Luminaire Efficacy Rating  (LER)","Color Temperature  (CCT)","Luminaire Efficacy Rating","Luminaire Efficacy rating (LER)","Total Watt Input","Driver  Type","Driver Typw","L70 Expected Life","Color Rendering Index (CRI0","LIght Source",120-277V,"Color Rendering  Index (CRI)","Fixrture Size","Fxiture Size"
698,TF-LINMW2328MV,"T8 Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,TF-LINMW232MV,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,TF-LINMW2548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,TF-LINMW254MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,TF-LINMW3548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,TF-LINMW354MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,TF-PLIN2328MV,"T8 Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,TF-PLIN232MV,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,TF-PLIN2548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,TF-PLIN254MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,TF-PLIN3548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,TF-CITLB254MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,IP67 (Certified-immersion at 1m for 30 min),Non PCB,NSF (Splash Zone Certified),Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,TF-CV8001,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Thermally protected,UL Listed,Wet Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,TF-CV8002,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Thermally protected,UL Listed,Wet Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,TF-ECLMW217S,"T8 Fluorescent","2' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,TF-ECLMW232S,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,TF-ECLMW417S,"T8 Fluorescent","2' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,TF-ECLMW432S,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,TF-ECLA217S,"T8 Fluorescent","2' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,TF-ECLA232S,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,TF-ECLRE417S,"T8 Fluorescent","2' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,TF-ECLRE432S,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Residential 120V Ballast","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,TF-WLINLV2328MV,"T8 Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,TF-WLINLV232MV,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,TF-BKRA117MV,"T8 Fluorescent","2' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,TF-WLINLV2548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,TF-WLINLV254MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,TF-WLINMW2328MV,"T8 Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,TF-WLINMW232MV,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,TF-WLINMW2548MV,"T5HO Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,TF-WLINMW254MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,TF-WLINPF2328MV,"T8 Fluorescent","8' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,TF-WLINPF232MV,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,TF-WLINPF254MV,"T5HO Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","Class P,HPF,Non PCB,Thermally protected,UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,TF-VAN,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, 120V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,TF-BKRA125MV,"T8 Fluorescent","3' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,TF-BKRA132MV,"T8 Fluorescent","4' Linear",83,1400,5000K,17,"Electronic, Multivolt 120-277V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,TF-24C2,"T8 Fluorescent",2x4,83,1400,5000K,17,"Electronic, Multivolt 120-277V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,BL-RELXTE1RCAEM-SDT,LED,2x4,83,1400,5000K,17,"Electronic, Multivolt 120-277V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,BL-LEDCXTEU,LED,2x4,83,1400,5000K,17,"Electronic, Multivolt 120-277V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,AT-CPPG,LED,2x4,NO,"4000-8500 lumens",5000K,17,"Electronic, Multivolt 120-277V","UL Listed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,LED,Other,>80,"2,400-4,200lm",5000K,20,"Electronic, Multivolt 120-277V","UL Listed",100-277V,130lm/w,"100,000hrs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,ILP-SS8-12L-U,LED,"8' Linear",NO,"11,466lm",5000K,90W,"Electronic, Multivolt 120-277V","UL Listed",120-277V,132lm/w,"100,000hrs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,LED,2X4,Ra>80,"11,466lm",5000K,40,"Electronic, Multivolt 120-277V","UL Listed",AC100-277V,125lm/w,"100,000hrs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,TL-TECBTA-22,LED,2X2,Ra>80,"11,466lm",5000K,40,"Electronic, Multivolt 120-277V","UL Listed",AC100-277V,125lm/w,"100,000hrs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,NL-NBQL,LED,Other,>70,"11,250-45,000lm",5000K,300,"Electronic, Multivolt 120-277V","UL Listed","100-277V, 347-480V",150lm/w,"100,000hrs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,BL-DBEL,LED,Other,>70,"11,250-45,000lm",5000K,300,"Electronic, 120/277V","UL Listed,Wet Area","100-277V, 347-480V",150lm/w,"100,000hrs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,BL-DXR,Incandescent,Other,>70,"11,250-45,000lm",5000K,300,"Electronic, 120/277V","UL Listed","100-277V, 347-480V",150lm/w,"100,000hrs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,BL-LEDR5HO,LED,Other,>70,"11,250-45,000lm",5000K,300,"Electronic, 120/277V","UL Listed","100-277V, 347-480V",150lm/w,"100,000hrs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,PI-PT-HBL4,LED,Other,82,"13,906-40,470",5000K,300,"Electronic, 120/277V","UL Listed",120V-277V,138L/W,"50,000",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,BL-PAR-1,Incandescent,Other,82,"13,906-40,470",5000K,300,"Electronic, 120/277V","UL Listed",120V-277V,138L/W,"50,000",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,ILP-AL-375WU,LED,Other,"> 70","50,500",5000K,320,"Electronic, 120/277V","UL Listed",120-277V,138L/W,"100,000 hrs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,ILP-AL-225WU,LED,Other,"> 70","29,500",5000K,225,"Electronic, 120/277V","UL Listed",120-277V,138L/W,"100,000 hrs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,ILP-AL-90WU,LED,Other,"> 70","12,500",5000K,90,"Electronic, 120/277V","UL Listed",120-277V,138L/W,"> 100,000 hrs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,ILP-BLFT-15WLED-UNIV-4000K,LED,Other,"> 80","1,402 lm",4000K,15,"Electronic, 120/277V","UL Listed",120-277V,"83 lm/W","50,000 hrs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,EL-EB30-11W,LED,Other,"> 80",850,4000K,11W,"Electronic, 120/277V","UL Listed",120-277V,"83 lm/W","50,000 hrs",1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,EL-EA21-22W,LED,Other,"> 80","2,550",5000K,11W,"Electronic, 120/277V","UL Listed",120-277V,"83 lm/W","50,000 hrs",1,50,22W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,EL-ET5-2,LED,Other,83,"3,200",5000K,11W,"Electronic, 120/277V","UL Listed",120-277V,"83 lm/W","50,000 hrs",1,25,24W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,DG-HLV4AOQ,LED,Other,NO,"13,500 - 20,000",5000K,112-136W,"Electronic, 120/277V","UL Listed",NO,NO,NO,1,25,24W,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,DG-DTRBQF1X15UHA,LED,Other,-,"1,250",5000K,15W,"Electronic, 120/277V","UL Listed","120-277V, 50/60Hz or 347V, 50/60Hz",-,-,1,25,24W,"3000K, 4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,DG-HLV2AOQ,LED,Other,-,"5,700 - 10,300",5000K,47-66W,"Electronic, 120/277V","UL Listed","120-277V, 50/60Hz or 347-480V, 50/60Hz",-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,TF-131A14L,LED,1X4,-,"4,100 & 5,400",5000K,35,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,TF-131A22L,LED,2X2,-,"3,200-3,900",5000K,35W,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,TF-128A24L,LED,2X4,-,"3450, 4800, 5400 Delivered Lumens",4000K,57,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366,TF-128A14L,LED,1X4,-,"4,300-5,800lm",4000K,48,"Electronic, 120/277V","UL Listed","0-10V Driver",-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370,TF-153A14L,LED,1X4,-,"4300 or 5800",5000K,"35W or 48W","Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,TF-153A22L,LED,2X2,-,2400-3200,5000K,35,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,TF-153A24L,LED,2X4,-,3650-6050,5000K,57,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,TF-200A224LS28W3300LDMV,LED,"2' Linear",-,3300,5000K,28,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,DG-HLF25QF1X132U,LED,Other,-,"15,500",5000K,132W,"Electronic, 120/277V","UL Listed","120-277V, 50/60Hz",-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,TF-200A424LS48W6000LDMV,LED,"2' Linear",-,"4800 lm",5000K,48,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,TF-200A248L,LED,"4' Linear",-,"4800 lm",5000K,48,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,TF-200A296L,LED,"8' Linear",-,"11200 or 13000",5000K,97,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,TF-201A48L,LED,"4' Linear",-,2400-7200,5000K,72,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,TF-201A96L,LED,"8' Linear",-,5600-11400,5000K,97,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,TF-209A48L,LED,"4' Linear",-,"3450 or 5100",5000K,35,"Electronic, 120/277V","UL Listed","0-10V Dimming",-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,TF-UCLL22L,LED,2X2,-,"3,150-4,300",5000K,42,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,TF-UCLL24L,LED,2X4,-,"4,350-6,800",5000K,57,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,TF-UCLL14L,LED,1X4,-,"4,000 or 6,000",5000K,30,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,TF-VLT22LJ36W3700LDMV,LED,2X2,-,"3700 lm",5000K,36,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,TF-VLT24L,LED,2X4,-,"5,500 or 6,000",5000K,48,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,TF-LXT22LZ36W4200LDMV,LED,2X2,-,4200,5000K,36,"Electronic, 120/277V","UL Listed","0-10V Dimmable",-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,TF-LXT24LZ50W6450LDMV,LED,2X4,-,"6450 lm",4000K,50,"Electronic, 120/277V","UL Listed",0-10V,-,-,1,25,24W,"4000K, 5000K",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
