Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
TF-MAX3FR-48L,LED,Other,,,>80,120-277V,"5,000lm","50,000",,5000K,,41,,,,,,,,,,,,
TF-LLLSH96L,LED,"8' Linear",,,,,"4,335lm",,,4000K,,49,,,,,,,,,,,,
TF-MAX3FR-36L,LED,Other,,,>80,120-277V,"3,000lm","50,000hrs",,5000K,28,,,,,,,,,,,,,
ILP-LANCE14-29L-U,LED,1X4,,,>80,120-277V,"2,900","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE14-40L-U,LED,1X4,,,>80,120-277V,"4,000","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE14-49L-U,LED,1X4,,,>80,120-277V,"4,900","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE14-61L-U,LED,1X4,,,>80,120-277V,"6,100","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE22-31L-U,LED,2X2,,,"> 80",120-277V,"3,100","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE22-34L-U,LED,2X2,,,"> 80",120-277V,"3,400","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE22-37L-U,LED,2X2,,,"> 80",120-277V,"3,700","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE22-48L-U,LED,2X2,,,"> 80",120-277V,"4,800","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE24-30L-U,LED,2X4,,,"> 80",120-277V,"3,000","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE24-37L-U,LED,2X4,,,"> 80",120-277V,"3,700","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE24-43L-U,LED,2X4,,,"> 80",120-277V,"4,300","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE24-49L-U,LED,2X4,,,"> 80",120-277V,"4,300","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE24-54L-U,LED,2X4,,,"> 80",120-277V,"5,400","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-LANCE24-62L-U,LED,2X4,,,"> 80",120-277V,"6,200","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-HZB2-12L-U,LED,"2' Linear",,,>80,120-277V,"12,000","100,000 hrs",,5000K,,80,,,,,,,,,,,,
ILP-FX4-12W-U,LED,"4' Linear",,,,,"1,821-1,836","100,000hrs",,5000K,,12,,,,,,,,,,,,
ILP-HZV2-2L-U,LED,"2' Linear",,,>80,120-277V,"2,000","100,000 hrs",,5000K,,,,,,,,,,,,,,
ILP-WTZ2-2L-U,LED,"2' Linear",,,>80,,"2,000","100,000hrs",,5000K,,19,,,,,,,,,,,,
ILP-RZ4-20W-U,LED,"4' Linear",,,,120-277V,"3,670","54,000hrs",,5000K,,20,,,,,,,,,,,,
ILP-RZ8-40W-U,LED,"8' Linear",,,,120-277V,"7,046","54,000hrs",,5000K,,40,,,,,,,,,,,,
GL-RDL-7-15-120D,LED,"7 Round",,,90+,120-277V,"1,50lm","50,000hrs",,,,15,,,3000K,,,,,,,,,
