parent_sku,family_count,child_sku,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Wattage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options","Fixture Wattage",Color,"Main Cable Length","Lens Options","Height Options","Wattage & Optics Options","Driver Option","LED Module & Wattage Options","End Cap Options",WattageOptions,"Pendant Mounting Kit","Beam Angle Options","Mounting Options","Trim Ring Finish","Select Finish (Reflectors & Baffles)","Length & Wattage Options","Output Wattage Options","Output Voltage Options","Wattage & Optics/Beams Options","Connector Type Options","Emergency Battery Options","Trimplate Options","Occupancy Sensor","Trim Options","Size\, Wattage & Lumen Options","Size & Wattage Options","Control Options","Square Trim Ring Options","Round Trim Ring Options","Accessories Options","Trim Shape Options","Color Te\,mperature (CCT)","Reflector Options",Reflector,"Reflector Finish","Color Temperature","Fixture Options","Color Temperat","Frosted Lens","Distribution Options"
TF-LINMW2548MV,1,TF-LINMW2548MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW2548MV,1,TF-LINMW2548MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW2548MV,1,TF-LINMW2548MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW254MV,1,TF-LINMW254MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW254MV,1,TF-LINMW254MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW254MV,1,TF-LINMW254MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW254MV,1,TF-LINMW254MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW3548MV,1,TF-LINMW3548MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW3548MV,1,TF-LINMW3548MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW3548MV,1,TF-LINMW3548MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW3548MV,1,TF-LINMW3548MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW3548MV,1,TF-LINMW3548MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW354MV,1,TF-LINMW354MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW354MV,1,TF-LINMW354MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW354MV,1,TF-LINMW354MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW354MV,1,TF-LINMW354MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINMW354MV,1,TF-LINMW354MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN2328MV,1,TF-PLIN2328MV-WHHC401WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN2328MV,1,TF-PLIN2328MV-SLHC401WH,,"Metallic Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN2328MV,1,TF-PLIN2328MV-RDHC401WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN2328MV,1,TF-PLIN2328MV-INHC401WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN232MV,1,TF-PLIN232MV-WHHC401WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN232MV,1,TF-PLIN232MV-SLHC401WH,,"Metallic Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN232MV,1,TF-PLIN232MV-RDHC401WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN232MV,1,TF-PLIN232MV-INHC401WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN2548MV,1,TF-PLIN2548MV-WHHC401WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN2548MV,1,TF-PLIN2548MV-SLWHC401WH,,"Metallic Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN254MV,1,TF-PLIN254MV-WHHC401WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN254MV,1,TF-PLIN254MV-SLHC401WH,,"Metallic Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-PLIN3548MV,1,TF-PLIN3548MV-WHHC401WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
