sku,parent,finish_options,price,cost_price,Retail_price,sale_price
TF-WLINPF2328MV-WH,TF-WLINPF2328MV,White,454.3,0,,
TF-WLINPF2328MV-BK,TF-WLINPF2328MV,Black,514.3,0,,
TF-WLINPF2328MV-SL,TF-WLINPF2328MV,Silver,514.3,0,,
TF-WLINPF2328MV-IN,TF-WLINPF2328MV,Iron,514.3,0,,
TF-WLINPF232MV-WH,TF-WLINPF232MV,White,242.86,0,,
TF-WLINPF232MV-BK,TF-WLINPF232MV,Black,257.15,0,,
TF-WLINPF232MV-SL,TF-WLINPF232MV,Silver,257.15,0,,
TF-WLINPF232MV-IN,TF-WLINPF232MV,Iron,257.15,0,,
TF-WLINPF254MV-WH,TF-WLINPF254MV,White,277.15,0,,
TF-WLINPF254MV-BK,TF-WLINPF254MV,Black,314.3,0,,
TF-WLINPF254MV-SL,TF-WLINPF254MV,Silver,314.3,0,,
TF-WLINPF254MV-IN,TF-WLINPF254MV,Iron,314.3,0,,
TF-BKRA125MV-WH,TF-BKRA125MV,White,91.43,0,,
TF-BKRA125MV-CHE,TF-BKRA125MV,White,91.43,0,,
TF-BKRA125MV-CH,TF-BKRA125MV,Chrome,91.43,0,,
TF-BKRA132MV-WH,TF-BKRA132MV,White,98.6,0,,
TF-BKRA132MV-CHE,TF-BKRA132MV,White,98.6,0,,
TF-BKRA132MV-CH,TF-BKRA132MV,Chrome,98.6,0,,
BL-DBEL-BR-SDT,BL-DBEL,Bronze,127.95,0,,
BL-DBEL-B-SDT,BL-DBEL,Black,127.95,0,,
BL-DBEL-WH-SDT,BL-DBEL,White,127.95,0,,
BL-LEDR5HO-,BL-LEDR5HO,White,33.95,0,,
BL-LEDR5HO-B,BL-LEDR5HO,Black,33.95,0,,
BL-PAR-1W,BL-PAR-1,White,27.86,0,,
BL-PAR-1B,BL-PAR-1,Black,27.86,0,,
ILP-BLFT-15WLED-UNIV-4000K-BRZ,ILP-BLFT-15WLED-UNIV-4000K,Bronze,544.3,0,,
ILP-BLFT-15WLED-UNIV-4000K-BLK,ILP-BLFT-15WLED-UNIV-4000K,Black,544.3,0,,
DG-DTRBQF1X15UHA-BR,DG-DTRBQF1X15UHA,Bronze,702.86,0,,
DG-DTRBQF1X15UHA-BR-36,DG-DTRBQF1X15UHA,Bronze,795.71,0,,
DG-DTRBQF1X15UHA-BR-30,DG-DTRBQF1X15UHA,Bronze,795.71,0,,
DG-DTRBQF1X15UHA-BL,DG-DTRBQF1X15UHA,Black,702.86,0,,
DG-DTRBQF1X15UHA-BL-36,DG-DTRBQF1X15UHA,Black,795.71,0,,
DG-DTRBQF1X15UHA-BL-30,DG-DTRBQF1X15UHA,Black,795.71,0,,
EN-880111-I,EN-880111,Ivory,0.68,0,,
EN-880111-W,EN-880111,White,0.68,0,,
EN-8661-I,EN-8661,Ivory,0.33,0,,
EN-8661-W,EN-8661,White,0.33,0,,
EN-83200-I,EN-83200,Ivory,2.9,0,,
EN-83200-W,EN-83200,White,2.9,0,,
EN-83150L-W,EN-83150L,White,4.36,0,,
EN-83150L-C,EN-83150L,Clear,4.36,0,,
EN-83150-GY,EN-83150,Gray,1.23,0,,
EN-83150-I,EN-83150,Ivory,1.23,0,,
EN-83150-LA,EN-83150,Light,1.23,0,,
EN-83150-W,EN-83150,White,1.23,0,,
EN-82150L-W,EN-82150L,White,5,0,,
EN-82150L-I,EN-82150L,Ivory,5,0,,
TF-BKRMW24LS24W2200LDMV40K-WH,TF-BKRMW24L,White,154.3,0,,
TF-BKRMW24LS24W2200LDMV40K-CHE,TF-BKRMW24L,White,154.3,0,,
TF-BKRMW24LS24W2200LDMV40K-CH,TF-BKRMW24L,Chrome,154.3,0,,
TF-BKRMW48L-S24W2200LDMV40K-WH,TF-BKRMW48L,White,172.86,0,,
TF-BKRMW48L-S24W2200LDMV40K-CHE,TF-BKRMW48L,White,172.86,0,,
TF-BKRMW48L-S24W2200LDMV40K-CH,TF-BKRMW48L,Chrome,172.86,0,,
TF-APWINCLPLED-BK,TF-APWINCLPLED,Black,30,0,,
TF-APWINCLPLED-WH,TF-APWINCLPLED,White,30,0,,
DG-LF3QF1X37-U-5K-CZ,DG-LF3QF1X37U5KC,Bronze,454.3,0,,
DG-LF3QF1X37-U-5K-CW,DG-LF3QF1X37U5KC,White,454.3,0,,
DG-LF2QF1X23-U5K-CZ,DG-LF2QF1X23,Bronze,385.75,0,,
DG-LF2QF1X23-U5K-CW,DG-LF2QF1X23,White,385.75,0,,
EN-68625-TR-GY,EN-68625-TR,Gray,8.33,0,,
EN-68625-TR-W,EN-68625-TR,White,8,0,,
EN-6671-I,EN-6671,Ivory,2.89,0,,
EN-6671-W,EN-6671,White,2.89,0,,
EN-6661-I,EN-6661,Ivory,,,,
EN-6661-W,EN-6661,White,,,,
EN-6651-I,EN-6651,Ivory,1.8,0,,
EN-6651-W,EN-6651,White,1.8,0,,
EN-6641-I,EN-6641,Ivory,1.75,0,,
