parent_sku,child_sku,color_temprature
TF-LLLSC48L58W,TF-LLLSC48L58W3456L-40KSA,4000K
JI-ZY-T8-15W1200,JI-ZY-T8-15W1200-BI-35K,3500K
JI-ZY-T8-15W1200,JI-ZY-T8-15W1200-BI-40K,4000K
JI-ZY-T8-15W1200,JI-ZY-T8-15W1200-BI-50K,5000K
JI-ZY-T8-18W1200,JI-ZY-T8-18W1200-BI-40K,4000K
JI-ZY-T8-18W1200,JI-ZY-T8-18W1200-BI-50K,5000K
LT-LEDH-3110ICA,LT-LEDH-3110ICA-2700K,2700K
LT-LEDH-3110ICA,LT-LEDH-3110ICA-3000K,3000K
LT-LEDH-3110ICA,LT-LEDH-3110ICA-4000K,4000K
LT-LEDH-3110,LT-LEDH-3110-2700K,2700K
LT-LEDH-3110,LT-LEDH-3110-3000K,3000K
LT-LEDH-3110,LT-LEDH-3110-4000K,4000K
LT-LEDH-3110ICAR,LT-LEDH-3110ICAR-2700K,2700K
LT-LEDH-3110ICAR,LT-LEDH-3110ICAR-3000K,3000K
LT-LEDH-3110ICAR,LT-LEDH-3110ICAR-4000K,4000K
LT-LEDH-3110R,LT-LEDH-3110R-2700K,2700K
LT-LEDH-3110R,LT-LEDH-3110R-3000K,3000K
LT-LEDH-3110R,LT-LEDH-3110R-4000K,4000K
LT-LED-AFC6,LT-LED-AFC6-2700K-WR,2700K
LT-LED-AFC6,LT-LED-AFC6-2700K-HCR,2700K
LT-LED-AFC6,LT-LED-AFC6-2700K-WB,2700K
LT-LED-AFC6,LT-LED-AFC6-2700K-BB,2700K
LT-LED-AFC6,LT-LED-AFC6-3000K-WR,3000K
LT-LED-AFC6,LT-LED-AFC6-3000K-HCR,3000K
LT-LED-AFC6,LT-LED-AFC6-3000K-WB,3000K
LT-LED-AFC6,LT-LED-AFC6-3000K-BB,3000K
LT-LED-AFC6,LT-LED-AFC6-3500K-WR,3500K
LT-LED-AFC6,LT-LED-AFC6-3500K-HCR,3500K
LT-LED-AFC6,LT-LED-AFC6-3500K-WB,3500K
LT-LED-AFC6,LT-LED-AFC6-3500K-BB,3500K
LT-LED-AFC6,LT-LED-AFC6-4000K-WR,4000K
LT-LED-AFC6,LT-LED-AFC6-4000K-HCR,4000K
LT-LED-AFC6,LT-LED-AFC6-4000K-WB,4000K
LT-LED-AFC6,LT-LED-AFC6-4000K-BB,4000K
LT-LEDH-NCR4ICA,LT-LEDH-NCR4ICA-2700K,2700K
LT-LEDH-NCR4ICA,LT-LEDH-NCR4ICA-3000K,3000K
LT-LEDH-NCR4ICA,LT-LEDH-NCR4ICA-4000K,4000K
LT-LED-AFR4,LT-LED-AFR4-2700K,2700K
LT-LED-AFR4,LT-LED-AFR4-3000K,3000K
LT-LED-AFR4,LT-LED-AFR4-4000K,4000K
LT-LEDH-NCR5ICA,LT-LEDH-NCR5ICA-2700K,2700K
LT-LEDH-NCR5ICA,LT-LEDH-NCR5ICA-3000K,3000K
LT-LEDH-NCR5ICA,LT-LEDH-NCR5ICA-3500K,3500K
