sku,parent,Color_Temperature,price,cost_price,Retail_price,sale_price
TF-ECLMW217S-IM,TF-ECLMW217S,5000K,94.3,0,,
TF-ECLMW217S-BM,TF-ECLMW217S,5000K,94.3,0,,
TF-ECLMW217S-SI,TF-ECLMW217S,5000K,94.3,0,,
TF-ECLMW217S-TO,TF-ECLMW217S,5000K,94.3,0,,
TF-ECLMW232S-WH,TF-ECLMW232S,5000K,100,0,,
TF-ECLMW232S-WM,TF-ECLMW232S,5000K,100,0,,
TF-ECLMW232S-IM,TF-ECLMW232S,5000K,100,0,,
TF-ECLMW232S-BM,TF-ECLMW232S,5000K,100,0,,
TF-ECLMW232S-SL,TF-ECLMW232S,5000K,100,0,,
TF-ECLMW232S-TO,TF-ECLMW232S,5000K,100,0,,
TF-ECLMW417S-WH,TF-ECLMW417S,5000K,144.3,0,,
TF-ECLMW417S-WM,TF-ECLMW417S,5000K,144.3,0,,
TF-ECLMW417S-IM,TF-ECLMW417S,5000K,144.3,0,,
TF-ECLMW417S-BM,TF-ECLMW417S,5000K,144.3,0,,
TF-ECLMW417S-SI,TF-ECLMW417S,5000K,144.3,0,,
TF-ECLMW417S-TO,TF-ECLMW417S,5000K,144.3,0,,
TF-ECLMW432S-WH,TF-ECLMW432S,5000K,147.15,0,,
TF-ECLMW432S-WM,TF-ECLMW432S,5000K,147.15,0,,
TF-ECLMW432S-IM,TF-ECLMW432S,5000K,147.15,0,,
TF-ECLMW432S-BM,TF-ECLMW432S,5000K,147.15,0,,
TF-ECLMW432S-SL,TF-ECLMW432S,5000K,147.15,0,,
TF-ECLMW432S-TO,TF-ECLMW432S,5000K,147.15,0,,
TF-ECLA217S-WH,TF-ECLA217S,5000K,102.86,0,,
TF-ECLA217S-WM,TF-ECLA217S,5000K,102.86,0,,
TF-ECLA217S-IM,TF-ECLA217S,5000K,102.86,0,,
TF-ECLA217S-BM,TF-ECLA217S,5000K,102.86,0,,
TF-ECLA217S-SI,TF-ECLA217S,5000K,102.86,0,,
TF-ECLA217S-TO,TF-ECLA217S,5000K,102.86,0,,
TF-ECLA232S-WH,TF-ECLA232S,5000K,108.6,0,,
TF-ECLA232S-WM,TF-ECLA232S,5000K,108.6,0,,
TF-ECLA232S-IM,TF-ECLA232S,5000K,108.6,0,,
TF-ECLA232S-BM,TF-ECLA232S,5000K,108.6,0,,
TF-ECLA232S-SL,TF-ECLA232S,5000K,108.6,0,,
TF-ECLA232S-TO,TF-ECLA232S,5000K,108.6,0,,
TF-ECLRE417S-WH,TF-ECLRE417S,5000K,154.3,0,,
TF-ECLRE417S-WM,TF-ECLRE417S,5000K,154.3,0,,
TF-ECLRE417S-IM,TF-ECLRE417S,5000K,154.3,0,,
TF-ECLRE417S-BM,TF-ECLRE417S,5000K,154.3,0,,
TF-ECLRE417S-SL,TF-ECLRE417S,5000K,154.3,0,,
TF-ECLRE417S-TO,TF-ECLRE417S,5000K,154.3,0,,
TF-ECLRE432S-WH,TF-ECLRE432S,5000K,161.43,0,,
TF-ECLRE432S-WM,TF-ECLRE432S,5000K,161.43,0,,
TF-ECLRE432S-IM,TF-ECLRE432S,5000K,161.43,0,,
TF-ECLRE432S-BM,TF-ECLRE432S,5000K,161.43,0,,
TF-ECLRE432S-SL,TF-ECLRE432S,5000K,161.43,0,,
TF-ECLRE432S-TO,TF-ECLRE432S,5000K,161.43,0,,
TF-WLINLV2328MV-WH,TF-WLINLV2328MV,5000K,674.3,0,,
TF-WLINLV2328MV-BK,TF-WLINLV2328MV,5000K,735.72,0,,
TF-WLINLV2328MV-SL,TF-WLINLV2328MV,5000K,735.72,0,,
TF-WLINLV2328MV-IN,TF-WLINLV2328MV,5000K,735.72,0,,
TF-WLINLV232MV-WH,TF-WLINLV232MV,5000K,371.43,0,,
TF-WLINLV232MV-BK,TF-WLINLV232MV,5000K,407.15,0,,
TF-WLINLV232MV-SL,TF-WLINLV232MV,5000K,407.15,0,,
TF-WLINLV232MV-IN,TF-WLINLV232MV,5000K,407.15,0,,
TF-BKRA117MV-WH,TF-BKRA117MV,5000K,77.15,0,,
TF-BKRA117MV-CHE,TF-BKRA117MV,5000K,77.15,0,,
TF-BKRA117MV-CH,TF-BKRA117MV,5000K,77.15,0,,
TF-WLINLV2548MV-WH,TF-WLINLV2548MV,5000K,747.15,0,,
TF-WLINLV2548MV-BK,TF-WLINLV2548MV,5000K,807.15,0,,
TF-WLINLV2548MV-SL,TF-WLINLV2548MV,5000K,807.15,0,,
TF-WLINLV2548MV-IN,TF-WLINLV2548MV,5000K,807.15,0,,
TF-WLINLV254MV-WH,TF-WLINLV254MV,5000K,404.3,0,,
TF-WLINLV254MV-BK,TF-WLINLV254MV,5000K,438.6,0,,
TF-WLINLV254MV-SL,TF-WLINLV254MV,5000K,438.6,0,,
TF-WLINLV254MV-IN,TF-WLINLV254MV,5000K,438.6,0,,
TF-WLINMW2328MV-WH,TF-WLINMW2328MV,5000K,478.6,0,,
TF-WLINMW2328MV-BK,TF-WLINMW2328MV,5000K,602.86,0,,
TF-WLINMW2328MV-SL,TF-WLINMW2328MV,5000K,602.86,0,,
TF-WLINMW2328MV-IN,TF-WLINMW2328MV,5000K,602.86,0,,
TF-WLINMW232MV-WH,TF-WLINMW232MV,5000K,270,0,,
TF-WLINMW232MV-BK,TF-WLINMW232MV,5000K,354.3,0,,
TF-WLINMW232MV-SL,TF-WLINMW232MV,5000K,354.3,0,,
TF-WLINMW232MV-IN,TF-WLINMW232MV,5000K,354.3,0,,
TF-WLINMW2548MV-WH,TF-WLINMW2548MV,5000K,548.6,0,,
TF-WLINMW2548MV-BK,TF-WLINMW2548MV,5000K,622.86,0,,
TF-WLINMW2548MV-SL,TF-WLINMW2548MV,5000K,622.86,0,,
TF-WLINMW2548MV-IN,TF-WLINMW2548MV,5000K,622.86,0,,
TF-WLINMW254MV-WH,TF-WLINMW254MV,5000K,301.43,0,,
TF-WLINMW254MV-BK,TF-WLINMW254MV,5000K,337.15,0,,
TF-WLINMW254MV-SL,TF-WLINMW254MV,5000K,337.15,0,,
TF-WLINMW254MV-IN,TF-WLINMW254MV,5000K,337.15,0,,
TF-WLINPF2328MV-WH,TF-WLINPF2328MV,5000K,454.3,0,,
TF-WLINPF2328MV-BK,TF-WLINPF2328MV,5000K,514.3,0,,
TF-WLINPF2328MV-SL,TF-WLINPF2328MV,5000K,514.3,0,,
TF-WLINPF2328MV-IN,TF-WLINPF2328MV,5000K,514.3,0,,
TF-WLINPF232MV-WH,TF-WLINPF232MV,5000K,242.86,0,,
TF-WLINPF232MV-BK,TF-WLINPF232MV,5000K,257.15,0,,
