parent_sku,child_sku,Wattage_Options
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-40K,"57 Watts"
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-50K,"57 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-30K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-35K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-40K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-50K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-30K,"48 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-35K,"48 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-40K,"48 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-50K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-30K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-35K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-40K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-50K,"48 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-30K,"52 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-35K,"52 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-40K,"52 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-50K,"52 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-30K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-35K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-40K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-50K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-30K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-35K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-40K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-50K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-30K,"57 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-35K,"57 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-40K,"57 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-50K,"57 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-30K,"28 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-35K,"28 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-40K,"28 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-50K,"28 Watts"
