parent_sku,child_sku,Voltage_Options,Wattage_Options
DG-WPR25GRQ,WPR25GRQ-F1X25-H-3KL-W,"347v-480v @25W Only","25 Watts"
DG-B2Q,DG-B2QF1X16-U-3K-C-Z,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-U-3K-C-B,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-U-3K-L-Z,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-U-3K-L-B,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-U-4K-C-Z,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-U-4K-C-B,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-U-4K-L-Z,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-U-4K-L-B,120-277v,"16 Watts"
DG-B2Q,DG-B2QF1X16-C-3K-C-Z,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-C-3K-C-B,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-C-3K-L-Z,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-C-3K-L-B,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-C-4K-C-Z,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-C-4K-C-B,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-C-4K-L-Z,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-C-4K-L-B,"347v @23w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-3K-C-Z,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-3K-C-B,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-3K-L-Z,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-3K-L-B,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-4K-C-Z,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-4K-C-B,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-4K-L-Z,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X16-H-4K-L-B,"347v-480v @34w Only","16 Watts"
DG-B2Q,DG-B2QF1X23-U-3K-C-Z,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-U-3K-C-B,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-U-3K-L-Z,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-U-3K-L-B,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-U-4K-C-Z,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-U-4K-C-B,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-U-4K-L-Z,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-U-4K-L-B,120-277v,"23 Watts"
DG-B2Q,DG-B2QF1X23-C-3K-C-Z,"347v @23w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-C-3K-C-B,"347v @23w Only","23 Watts"
DG-B2Q,DG-B2QF1X23-C-3K-L-Z,"347v @23w Only","23 Watts"
