sku,Price,"Cost Price","Retail Price","Sale Price"
TF-CRVRL24L-J48W6100LDMV-50K,225.72,0,,
TF-CRVRL24L-J57W7200LDMV-30K,230,0,,
TF-CRVRL24L-J57W7200LDMV-35K,230,0,,
TF-CRVRL24L-J57W7200LDMV-40K,230,0,,
TF-CRVRL24L-J57W7200LDMV-50K,230,0,,
TF-CRVRL22L-J28W3500LDMV-30K,191.43,0,,
TF-CRVRL22L-J28W3500LDMV-35K,191.43,0,,
TF-CRVRL22L-J28W3500LDMV-40K,191.43,0,,
TF-CRVRL22L-J28W3500LDMV-50K,191.43,0,,
TF-CRVRL22L-J35W4200LDMV-30K,194.3,0,,
TF-CRVRL22L-J35W4200LDMV-35K,194.3,0,,
TF-CRVRL22L-J35W4200LDMV-40K,194.3,0,,
TF-CRVRL22L-J35W4200LDMV-50K,194.3,0,,
TF-EWW24L-J24W1600LDMV-30K,271.42,0,,
TF-EWW24L-J24W1600LDMV-35K,271.42,0,,
TF-EWW24L-J24W1600LDMV-40K,271.42,0,,
TF-EWW24L-J24W1600LDMV-50K,271.42,0,,
TF-EWW24L-Z35W2500LDMV-30K,292.86,0,,
TF-EWW24L-Z35W2500LDMV-35K,292.86,0,,
TF-EWW24L-Z35W2500LDMV-40K,292.86,0,,
TF-EWW24L-Z35W2500LDMV-50K,292.86,0,,
TF-EWW48L-J48W3500LDMV-30K,301.43,0,,
TF-EWW48L-J48W3500LDMV-35K,301.43,0,,
TF-EWW48L-J48W3500LDMV-40K,301.43,0,,
TF-EWW48L-J48W3500LDMV-50K,301.43,0,,
TF-EWW48L-Z57W4000LDMV-30K,305.72,0,,
TF-EWW48L-Z57W4000LDMV-35K,305.72,0,,
TF-EWW48L-Z57W4000LDMV-40K,305.72,0,,
TF-EWW48L-Z57W4000LDMV-50K,305.72,0,,
TF-SKDFR48L-J28W2800LDMV-30KWH,134.3,0,,
TF-SKDFR48L-J28W2800LDMV-35KWH,134.3,0,,
TF-SKDFR48L-J28W2800LDMV-40KWH,134.3,0,,
TF-SKDFR48L-J28W2800LDMV-50KWH,134.3,0,,
TF-SKDFR48L-J35W3400LDMV-30KWH,144.3,0,,
TF-SKDFR48L-J35W3400LDMV-35KWH,144.3,0,,
TF-SKDFR48L-J35W3400LDMV-40KWH,144.3,0,,
TF-SKDFR48L-J35W3400LDMV-50KWH,144.3,0,,
TF-SKDFR96L-J57W5400LDMV-30KWH,171.43,0,,
TF-SKDFR96L-J57W5400LDMV-35KWH,171.43,0,,
TF-SKDFR96L-J57W5400LDMV-40KWH,171.43,0,,
TF-SKDFR96L-J57W5400LDMV-50KWH,171.43,0,,
TF-SKDFR96L-J72W7000LDMV-30KWH,248.6,0,,
TF-SKDFR96L-J72W7000LDMV-35KWH,248.6,0,,
TF-SKDFR96L-J72W7000LDMV-40KWH,248.6,0,,
TF-SKDFR96L-J72W7000LDMV-50KWH,248.6,0,,
TF-SKDWBFR48L-J40W4000LDMV-30K,144.3,0,,
TF-SKDWBFR48L-J40W4000LDMV-35K,144.3,0,,
TF-SKDWBFR48L-J40W4000LDMV-40K,144.3,0,,
TF-SKDWBFR48L-J40W4000LDMV-50K,144.3,0,,
TF-SKDWBFR48L-Z72W7000LDMV-30K,171.43,0,,
TF-SKDWBFR48L-Z72W7000LDMV-35K,171.43,0,,
TF-SKDWBFR48L-Z72W7000LDMV-40K,171.43,0,,
TF-SKDWBFR48L-Z72W7000LDMV-50K,171.43,0,,
TF-SKDWBFR96L-J80W8000LDMV40KWH,,0,,
TF-SKDWBFR96L-Z114W10800LDMV40KWH,278.6,0,,
TF-LVS696L-J48W4000LDMV-30KWHHC3015WH,451.43,0,,
TF-LVS696L-J48W4000LDMV-35KWHHC3015WH,451.43,0,,
TF-LVS696L-J48W4000LDMV-40KWHHC3015WH,451.43,0,,
TF-LVS696L-J48W4000LDMV-50KWHHC3015WH,451.43,0,,
TF-LVS696L-J96W8000LDMV-30KWHHC3015WH,455.72,0,,
TF-LVS696L-J96W8000LDMV-35KWHHC3015WH,455.72,0,,
TF-LVS696L-J96W8000LDMV-40KWHHC3015WH,455.72,0,,
