parent_sku,child_sku,"Color Temperature (CCT)",price,cost_price,Retail_price,sale_price
NL-NBQL,NL-NBQL-100W-50K-V,5000K,228.6,0,,
NL-NBQL,NL-NBQL-100W-50K-HV,5000K,228.6,0,,
NL-NBQL,NL-NBQL-150W-30K-V,5000K,235.75,0,,
NL-NBQL,NL-NBQL-150W-30K-HV,5000K,235.75,0,,
NL-NBQL,NL-NBQL-150W-40K-V,5000K,235.75,0,,
NL-NBQL,NL-NBQL-150W-40K-HV,5000K,235.75,0,,
NL-NBQL,NL-NBQL-150W-50K-V,5000K,235.75,0,,
NL-NBQL,NL-NBQL-150W-50K-HV,5000K,235.75,0,,
NL-NBQL,NL-NBQL-200W-30K-V,5000K,297.15,0,,
NL-NBQL,NL-NBQL-200W-30K-HV,5000K,297.15,0,,
NL-NBQL,NL-NBQL-200W-40K-V,5000K,297.15,0,,
NL-NBQL,NL-NBQL-200W-40K-HV,5000K,297.15,0,,
NL-NBQL,NL-NBQL-200W-50K-V,5000K,297.15,0,,
NL-NBQL,NL-NBQL-200W-50K-HV,5000K,297.15,0,,
NL-NBQL,NL-NBQL-300W-30K-V,5000K,392.9,0,,
NL-NBQL,NL-NBQL-300W-30K-HV,5000K,392.9,0,,
NL-NBQL,NL-NBQL-300W-40K-V,5000K,392.9,0,,
NL-NBQL,NL-NBQL-300W-40K-HV,5000K,392.9,0,,
NL-NBQL,NL-NBQL-300W-50K-V,5000K,392.9,0,,
NL-NBQL,NL-NBQL-300W-50K-HV,5000K,392.9,0,,
PS-HB-18Y-PAD,PS-HB-18Y-PAD-60,5000K,9.15,0,,
PS-HB-18Y-PAD,PS-HB-18Y-PAD-120,5000K,11.75,0,,
PS-HB-18Y-PAD,PS-HB-18Y-PAD-180,5000K,13.75,0,,
PS-HB-18Y-PAD,PS-HB-18Y-PAD-240,5000K,15.75,0,,
BL-DBEL,BL-DBEL-BR-SDT,5000K,127.95,0,,
BL-DBEL,BL-DBEL-B-SDT,5000K,127.95,0,,
BL-DBEL,BL-DBEL-WH-SDT,5000K,127.95,0,,
BL-DXR,BL-DXR-65,5000K,98.6,0,,
BL-DXR,BL-DXR-610,5000K,123.25,0,,
BL-DXR,BL-DXR-125,5000K,98.6,0,,
BL-DXR,BL-DXR-1210,5000K,123.25,0,,
BL-LEDR5HO,BL-LEDR5HO-,5000K,33.95,0,,
BL-LEDR5HO,BL-LEDR5HO-B,5000K,33.95,0,,
PI-PT-HBL4,PI-PT-HBL4-105W-40K,5000K,108.43,0,,
PI-PT-HBL4,PI-PT-HBL4-155W-40K,5000K,142.82,0,,
PI-PT-HBL4,PI-PT-HBL4-170W-40K,5000K,178.32,0,,
