parent_sku,child_sku,color_tempartore,Lens_option
ILP-HZB2-12L-U,ILP-HZB2-12L-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-35-CAL,3500K,"Clear Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-30,3000K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-35,3500K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-40,4000K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-50,5000K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-30,3000K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-35,3500K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-40,4000K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-50,5000K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-30,3000K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-35,3500K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-40,4000K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-50,5000K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-30-CAL,3000K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-35-CAL,3500K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-40-CAL,4000K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-50-CAL,5000K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-30,3000K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-35,3500K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-40,4000K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-50,5000K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-30,3000K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-35,3500K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-40,4000K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-50,5000K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-50-FRAL,5000K,"Frosted Acrylic Lens"
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-40K-C,4000K,Clear
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-40K-F,4000K,Frosted
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-50K-C,5000K,Clear
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-50K-F,5000K,Frosted
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-40K-C,4000K,Clear
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-40K-F,4000K,Frosted
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-50K-C,5000K,Clear
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-50K-F,5000K,Frosted
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-40K-C,4000K,Clear
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-40K-F,4000K,Frosted
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-50K-C,5000K,Clear
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-50K-F,5000K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-30K-C,3000K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-30K-F,3000K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-35K-C,3500K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-35K-F,3500K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-40K-C,4000K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-40K-F,4000K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-50K-C,5000K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-50K-F,5000K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-30K-C,3000K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-30K-F,3000K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-35K-C,3500K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-35K-F,3500K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-40K-C,4000K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-40K-F,4000K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-50K-C,5000K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-50K-F,5000K,Frosted
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-40K-C,4000K,Clear
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-40K-F,4000K,Frosted
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-50K-C,5000K,Clear
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-50K-F,5000K,Frosted
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-40W-40K-C,4000K,Clear
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-40W-40K-F,4000K,Frosted
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-50W-40K-C,5000K,Clear
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-50W-40K-F,5000K,Frosted
