sku,price-USD,price-USD,mpn,price-USD,product_name,description,item_weight,item_weight-unit
CDX-55W-50K-BR,55W,5000K,
CDX-55W-50K-WH,55W,5000K,
CDL2-25CW,25W,5000K,
CDL2-60NW,60W,4000K,
CDL2-60WW,60W,3000K,
CDL2-45CW-M,45W,5000K,
CGL-40W-50K,40W,5000K,
CGL-40W-40K,40W,4000K,
CGL-55W-50K,55W,5000K,
CGL-55W-40K,55W,4000K,
CGL-75W-50K,75W,5000K,
CGL-75W-40K,75W,4000K,
CGL-100W-50K,100W,5000K,
CGL-100W-40K,100W,4000K,
CGL-FL1,N/A,N/A,
CGL-FL2,N/A,N/A,
LR2-50NW-P,50W,4000K,
LR2-80CW-P,80W,5000K,
LR-ECO-20W-50K-P,20W,5000K,
LR-ECO-20W-30K-P,20W,3000K,
LR-ECO-ARM,N/A,N/A,
GL-12V-12W-30K-BR,12W,3000K,
GL-12V-12W-40K-BR,12W,4000K,
GL-12V-12W-50K-BR,12W,5000K,
GL-12V-24W-30K-BR,24W,3000K,
GL-12V-24W-40K-BR,24W,4000K,
GL-12V-24W-50K-BR,24W,5000K,
GL-12W-30K-BR,12W,3000K,
GL-12W-40K-BR,12W,4000K,
GL-12W-50K-BR,12W,5000K,
GL-24W-30K-BR,24W,3000K,
GL-24W-40K-BR,24W,4000K,
GL-24W-50K-BR,24W,5000K,
GL-MCTP-BK,"20W MAX.",3000K~5700K,
GL-MCTP-BR,"20W MAX.",3000K~5700K,
GL-MCTP-WH,"20W MAX.",3000K~5700K,
FLD2-15CW-KN-WH,15W,5000K,
FLD2-15CW-KN-GRN,15W,5000K,
FLD2-15WW-KN-GRN,15W,3000K,
FLD2-50CW-KN,50W,5000K,
FLD2-50WW-KN,50W,3000K,
FLD2-15CW-TR,15W,5000K,
FLD2-15WW-TR,15W,3000K,
FLD2-28CW-TR,28W,5000K,
FLD2-28WW-TR,28W,3000K,
FLD2-42CW-TR,42W,5000K,
FLD2-42WW-TR,42W,3000K,
LF12-6W-27K-KN,6W,2700K,
LF12-6W-30K-KN,6W,3000K,
LF12-6W-40K-KN,6W,4000K,
LF12-6W-50K-KN,6W,5000K,
LF12-6W-RGBW-KN,6W,"RGB + 3000K",
WMC-DL-15W-50K-BN,15W,5000K,
WMCL-UDL-MCT-BN,40W,3000K/4000K/5000K,
WMCL-UDL-MCT-BR,40W,3000K/4000K/5000K,
WMCS-UDL-MCT-BN-DT,24W,3000K/4000K/5000K,
WMCS-UDL-MCT-BR-DT,24W,3000K/4000K/5000K,
LDS-12W-30K-D,12W,3000K,
LDS-12W-40K-D,12W,4000K,
LRS-A-30K-PC,12W,3000K,
LRS-A-40K-PC,12W,4000K,
LRS-B-30K-PC,6W,3000K,
LRS-B-40K-PC,6W,4000K,
LRS-C-30K-D,12W,3000K,
LRS-C-40K-D,12W,4000K,
LRS-D-30K-D,12W,3000K,
LRS-D-40K-D,12W,4000K,
PML-MCT-BK,12W,3000K/4000K/5000K,
PML-BASE-BK,N/A,N/A,
LGP-42W-50K,42W,5000K,
LGP-42W-40K,42W,4000K,
LGP-42W-30K,42W,3000K,
LGP-100W-50K,100W,5000K,
LGP-100W-40K,100W,4000K,
LGP-100W-30K,100W,3000K,
LGP-EXTARM,N/A,N/A,
LGP-A2,N/A,N/A,
SL-20W-50K-BZ-P,20W,5000K,
SL-20W-30K-BZ-P,20W,3000K,
SL-20W-50K-WH-P,20W,5000K,
SL-20W-30K-WH-P,20W,3000K,
SL-30W-50K-BZ-P,30W,5000K,
SL-30W-30K-BZ-P,30W,3000K,
SL-30W-50K-WH-P,30W,5000K,
SL-30W-30K-WH-P,30W,3000K,
SL-10W-50K-BZ-D,10W,5000K,
SL-10W-30K-BZ-D,10W,3000K,
SL-20W-50K-BZ-D,20W,5000K,
SL-20W-30K-BZ-D,20W,3000K,
SL-30W-50K-BZ-D,30W,5000K,
SL-30W-30K-BZ-D,30W,3000K,
SL-10W-50K-WH-D,10W,5000K,
SL-10W-30K-WH-D,10W,3000K,
SL-20W-50K-WH-D,20W,5000K,
SL-20W-30K-WH-D,20W,3000K,
SL-30W-50K-WH-D,30W,5000K,
SL-30W-30K-WH-D,30W,3000K,
SL-28W-50K-BZ-P,28W,5000K,
SL-28W-30K-BZ-P,28W,3000K,
SL-28W-50K-WH-P,28W,5000K,
SL-28W-30K-WH-P,28W,3000K,
SL-28W-50K-BZ-D,28W,5000K,
SL-28W-30K-BZ-D,28W,3000K,
SL-40W-50K-BZ-D,40W,5000K,
SL-40W-30K-BZ-D,40W,3000K,
SL-28W-50K-WH-D,28W,5000K,
SL-28W-30K-WH-D,28W,3000K,
SL-40W-50K-WH-D,40W,5000K,
SL-40W-30K-WH-D,40W,3000K,
SL-20W-30K-BZ,20W,3000K,
SL-20W-30K-WH,20W,3000K,
SL-20W-50K-BZ,20W,5000K,
SL-20W-50K-WH,20W,5000K,
LOHB-2FT-50W-30K,50W,3000K,
LOHB-2FT-50W-50K,50W,5000K,
LOHB-4FT-120W-30K,120W,3000K,
LOHB-4FT-120W-50K,120W,5000K,
LOHB-H-2FT,N/A,N/A,
WMS-S-50K-BR,6W,5000K,
WMS-S-30K-BR,6W,3000K,
WMS-R-50K-BR,6W,5000K,
WMS-R-30K-BR,6W,3000K,
WMS-S-50K-WH,6W,5000K,
WMS-S-30K-WH,6W,3000K,
WMS-R-50K-WH,6W,5000K,
WMS-R-30K-WH,6W,3000K,
WL-EZCG-10W-50K,10W,5000K,
WL-EZCG-SOLP,N/A,N/A,
WL-3IN1-10W,10W,6000K,
LF-THREAD,N/A,N/A,
SPS-75,N/A,N/A,
LF3-YOK,N/A,N/A,
FL-SH1,N/A,N/A,
FL-SH2,N/A,N/A,
FL-SH3,N/A,N/A,
FL-SH4,N/A,N/A,
PSS3SVTZ,N/A,N/A,
PSS4SVTZ,N/A,N/A,
PSS5SVTZ,N/A,N/A,
PRPT3,N/A,N/A,
PRPT4,N/A,N/A,
PRPT5,N/A,N/A,
PSR4,N/A,N/A,
LF-AD-KNU,N/A,N/A,
PSS4C,N/A,N/A,
PSS3R,N/A,N/A,
ACC-WM2,N/A,N/A,
ACC-WM3,N/A,N/A,
ACC-WM4,N/A,N/A,
PT2-180-R,N/A,N/A,
PT2-180-S,N/A,N/A,
PT3-180,N/A,N/A,
PT4-180,N/A,N/A,
PT3-120,N/A,N/A,
