SKU,family_count,family
TF-FHBL96L,2,"Wattage Options,Color Temperature (CCT)"
TF-HBC22L,2,"Wattage Options,Color Temperature (CCT)"
DG-SBQ,5,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT),Finish Options,Height Options"
TF-HOTCE11L,2,"Wattage Options,Color Temperature (CCT)"
TF-HOTCE14L,2,"Wattage Options,Color Temperature (CCT)"
TF-LINMW48L,2,"Wattage Options,Color Temperature (CCT)"
TF-LINMW96L,2,"Wattage Options,Color Temperature (CCT)"
TF-LLLRA48L35W,1,"Color Temperature (CCT)"
TF-LLLSA48L23W1500L,1,"Color Temperature (CCT)"
TF-LLLSB47L42W,1,"Color Temperature (CCT)"
TF-APWINCLPLED,1,"Finish Options"
TF-CITE24LFR,2,"Wattage Options,Color Temperature (CCT)"
TF-CITE48LFR,2,"Wattage Options,Color Temperature (CCT)"
TF-CITE96LFR,2,"Wattage Options,Color Temperature (CCT)"
TF-EOS,2,"Wattage Options,Color Temperature (CCT)"
TF-LLLSC48L58W,1,"Color Temperature (CCT)"
TF-PLIN48L,2,"Wattage Options,Color Temperature (CCT)"
TF-PLIN96L,3,"Wattage & Lumen Options,Color Temperature (CCT),Finish Options"
TF-VAN24L,3,"Wattage Options,Color Temperature (CCT),End Cap Options"
TF-VAN48L,3,"Wattage  Options,Color Temperature (CCT),End Cap Options"
TF-SS213A24L,2,"Wattage Options,Color Temperature (CCT)"
TF-SS213A48L,2,"Wattage  Options,Color Temperature (CCT)"
DG-B9Q,3,"WattageOptions,Color Temperature (CCT),Finish Options"
DG-PF80QC1X176,3,"Voltage Options,Color Temperature (CCT),Lens Options"
JI-ZY-T8-15W1200,1,"Color Temperature (CCT)"
JI-ZY-T8-18W1200,1,"Color Temperature (CCT)"
LT-LEDH-3110ICA,1,"Color Temperature (CCT)"
LT-LEDH-3110,1,"Color Temperature (CCT)"
LT-LEDH-3110ICAR,1,"Color Temperature (CCT)"
LT-LEDH-3110R,1,"Color Temperature (CCT)"
LT-LED-AFC4,2,"Wattage Options,Color Temperature (CCT)"
LT-LED-AFC6,2,"Color Temperature (CCT),Fixture Options"
DG-PB2D,3,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT)"
DG-PB2S,3,"Wattage & Globe Options,Voltage Options,Color Temperature (CCT)"
LT-LEDH-NCR4ICA,1,"Color Temperature (CCT)"
DG-AS301Q,4,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT),Lens Options"
LT-LED-AFR4,1,"Color Temperature (CCT)"
LT-LEDH-NCR5ICA,1,"Color Temperature (CCT)"
LT-LED-AFR56,1,"Color Temperature (CCT)"
LT-LED-AF6E,1,"Color Temperature (CCT)"
LT-LED-AF6AD,1,"Color Temperature (CCT)"
LT-LED-ARFK4-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDT-R44-HC,1,"Metal Trim Ring Finish"
LT-LEDT-R64-HC,1,"Metal Trim Ring Finish"
LT-LEDT-R436-HC,1,"Metal Trim Ring Finish"
LT-LEDT-R636,1,"Metal Trim Ring Finish"
LT-LEDT-R836,1,"Metal Trim Ring Finish"
LT-LEDT-R440,2,"Reflector Finish,Metal Trim Ring Finish"
LT-LED-ARFK4-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LED-ARFK6-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-ARFK6-UZTD,1,"Wattage & Lumen Options"
LT-ARFK8-UTD,1,"Wattage & Lumen Options"
LT-LED-ARFK9-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LED-ARFK9-UZTD,2,"Wattage & Lumen,Color Temperature (CCT)"
LT-LED-ARFK12-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK4-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK4-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK6-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK6-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK8-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK8-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK9-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-CFK9-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK4-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK4-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK6-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK6-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK8-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK8-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK9-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-AFK9-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK4-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK4-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK6-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK6-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK8-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK8-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK9-UTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-RFK9-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-LEDH-SR5W-UTD,3,"Wattage & Lumen Options,Color Temperature (CCT),Finish Options"
LT-LEDH-SR5P-UTD,4,"Wattage Options,Color Temperature (CCT),Finish Options,Pendant Mounting Kit"
DG-VGS40Q,2,"Wattage Options,Voltage Options"
LT-LEDH-SR6C-UTD,3,"Wattage Options,Color Temperature (CCT),Finish Options"
DG-AFRC30Q,5,"Wattage & Lumen Options,Voltage Options,Color Temperature (CCT),Lens Options,Finish Options"
LT-LEDH-SR6W-UTD,3,"Wattage & Lumen Options,Color Temperature (CCT),Finish Options"
DG-VN44QF1X45,2,"Voltage Options,Color Temperature (CCT)"
DG-NB2C34X5,2,"Voltage Options,Finish Options"
DG-PF71Q,5,"Wattage Options,Voltage Options,Color Temperature (CCT),Lens Options,Finish Options"
LT-LEDH-SR8C-UTD,3,"Wattage Options,Color Temperature (CCT),Finish Options"
LT-LEDH-SR8W-UTD,3,"Wattage Options,Color Temperature (CCT),Finish Options"
LT-LEDH-SR8P-UTD,4,"Pendant Mounting Kit,Wattage Options,Color Temperature (CCT),Finish Options"
DG-NB1C34X5,2,"Voltage Options,Finish Options"
DG-AL35QF1X126,1,"Voltage Options"
DG-WP7QF1X11U,1,"Color Temperature (CCT)"
DG-ORIONQC1X47,2,"Voltage Options,Color Temperature (CCT)"
DG-HLP15QF57U,1,"Color Temperature (CCT)"
DG-LF3QF1X37U5KC,1,"Finish Options"
DG-LF2QF1X23,1,"Finish Options"
DG-MWPQF1X50,3,"Voltage Options,Color Temperature (CCT),Lens Options"
DG-MWPQF1X25,3,"Voltage Options,Color Temperature (CCT),Lens Options"
LT-LEDH-SR8C-UZTD,3,"Wattage & Lumen Options,Color Temperature (CCT),Finish Options"
DG-LWPQF1X43,3,"Voltage Options,Color Temperature (CCT),Lens Options"
DG-WBB4QF1X25U,3,"Color Temperature (CCT),Lens Options,Finish Options"
LT-LEDH-SR8W-UZTD,3,"Wattage Options,Color Temperature (CCT),Finish Options"
DG-WPR25OFQ,4,"Wattage Options,Voltage Options,Color Temperature (CCT),Finish Options"
LT-LEDH-SR8P-UZTD,4,"Pendant Mounting Kit,Wattage Options,Color Temperature (CCT),Finish Options"
DG-B2PTQF1X23,4,"Voltage Options,Color Temperature (CCT),Lens Options,Finish Options"
DG-WPR25HCQ,4,"Wattage Options,Voltage Options,Color Temperature (CCT),Finish Options"
DG-WPR25GRQ,4,"Wattage Options,Voltage Options,Color Temperature (CCT),Finish Options"
DG-B2Q,4,"Wattage Options,Voltage Options,Color Temperature (CCT),Lens Options"
DG-B1BPTQF1X23,3,"Voltage Options,Color Temperature (CCT),Finish Options"
DG-B1PTQF1X23,3,"Voltage Options,Fixture Options,Finish Options"
DG-AFS20QF1X17,3,"Voltage Options,Color Temperature (CCT),Finish Options"
DG-AFR20QF1X17,3,"Voltage Options,Color Temperature (CCT),Finish Options"
DG-B1Q,4,"Wattage & Lumen Options,Voltage Options,Color Temperature (CCT),Lens Options"
LT-LEDH-S55-UTD,2,"Wattage Options,Color Temperature (CCT)"
LT-LEDH-S55-UZTD,2,"Wattage & Lumen Options,Color Temperature (CCT)"
LT-SH-LED8,2,"Face Plate Style,Finish Options"
LT-SH-LED8WP,2,"Face Plate Style,Finish Options"
