sku,upc_ean,cost-USD,msrp-USD,imap-USD,mpn
WM-SCX4-8FT-80W-MCT4-D,845060057126,269.90,473.78,428.74,SCX4-8FT-80W-MCT4-D
WM-SCX-2FT-20W-MCT4-D-REG,845060061338,128.90,225.78,204.74,SCX-2FT-20W-MCT4-D-REG
WM-SCX-3FT-30W-MCT4-D-REG,845060061345,153.90,271.78,245.74,SCX-3FT-30W-MCT4-D-REG
WM-SCX-4FT-40W-MCT4-D-REG,845060061352,180.90,315.78,286.74,SCX-4FT-40W-MCT4-D-REG
WM-SCX-6FT-60W-MCT4-D-REG,845060061369,240.90,422.78,382.74,SCX-6FT-60W-MCT4-D-REG
WM-SCX-8FT-80W-MCT4-D-REG,845060061376,311.90,544.78,493.74,SCX-8FT-80W-MCT4-D-REG
WM-SCX-2FT-20W-MCT4-D-LUV,845060061383,99.94,176.78,159.74,SCX-2FT-20W-MCT4-D-LUV
WM-SCX-3FT-30W-MCT4-D-LUV,845060061390,132.94,233.78,211.74,SCX-3FT-30W-MCT4-D-LUV
WM-SCX-4FT-40W-MCT4-D-LUV,845060061406,138.94,242.78,219.74,SCX-4FT-40W-MCT4-D-LUV
WM-SCX-6FT-60W-MCT4-D-LUV,845060061413,202.94,354.78,320.74,SCX-6FT-60W-MCT4-D-LUV
WM-SCX-8FT-80W-MCT4-D-LUV,845060061420,269.94,473.78,428.74,SCX-8FT-80W-MCT4-D-LUV
WM-SCX-2FT-20W-MCT4-D-DL,845060061437,99.94,176.78,159.74,SCX-2FT-20W-MCT4-D-DL
WM-SCX-3FT-30W-MCT4-D-DL,845060061444,132.94,233.78,211.74,SCX-3FT-30W-MCT4-D-DL
WM-SCX-6FT-60W-MCT4-D-DL,845060061468,202.94,354.78,320.74,SCX-6FT-60W-MCT4-D-DL
WM-SCX-8FT-80W-MCT4-D-DL,845060061475,269.94,473.78,428.74,SCX-8FT-80W-MCT4-D-DL
WM-SCX-2FT-20W-MCT4-D-DLP,845060061482,155.90,273.78,247.74,SCX-2FT-20W-MCT4-D-DLP
WM-SCX-4FT-40W-MCT4-D-DLP,845060061499,242.90,425.78,385.74,SCX-4FT-40W-MCT4-D-DLP
WM-SCX-2FT-20W-MCT4-D-IND,845060061505,120.90,212.78,192.74,SCX-2FT-20W-MCT4-D-IND
WM-SCX-3FT-30W-MCT4-D-IND,845060061512,144.90,253.78,229.74,SCX-3FT-30W-MCT4-D-IND
WM-SCX-4FT-40W-MCT4-D-IND,845060061529,171.90,300.78,271.74,SCX-4FT-40W-MCT4-D-IND
WM-SCX-6FT-60W-MCT4-D-IND,845060061536,228.90,401.78,363.74,SCX-6FT-60W-MCT4-D-IND
WM-SCX-8FT-80W-MCT4-D-IND,845060061543,297.90,520.78,471.74,SCX-8FT-80W-MCT4-D-IND
WM-SCX-L-MCT4,845060056853,36.90,66.78,60.74,SCX-L-MCT4
WM-SCX-T-MCT4,845060056860,47.90,85.78,77.74,SCX-T-MCT4
WM-SCX-Y-MCT4,845060059519,53.90,93.78,84.74,SCX-Y-MCT4
WM-SCX-X-MCT4,845060056877,56.90,99.78,90.74,SCX-X-MCT4
WM-SCX-IC-MCT4,845060056884,47.90,85.78,77.74,SCX-IC-MCT4
WM-SCX-C120-MCT4,845060056891,47.90,85.78,77.74,SCX-C120-MCT4
WM-SCX2-L-MCT4,845060057041,40.90,71.78,64.74,SCX2-L-MCT4
WM-SCX2-T-MCT4,845060057058,53.90,93.78,84.74,SCX2-T-MCT4
WM-SCX2-IC-MCT4,845060057072,53.90,93.78,84.74,SCX2-IC-MCT4
WM-LFE-15W-MCT-TR,845060063585,22.90,39.78,34.74,LFE-15W-MCT-TR
WM-LFE-30W-MCT-TR,845060063608,24.90,44.78,38.74,LFE-30W-MCT-TR
WM-LFE-50W-MCT-TR,845060063622,36.90,65.78,56.74,LFE-50W-MCT-TR
WM-LFE-15W-MCT-KN,845060063592,24.90,44.78,38.74,LFE-15W-MCT-KN
WM-LFE-30W-MCT-KN,845060063615,26.90,47.78,41.74,LFE-30W-MCT-KN
WM-LFE-50W-MCT-KN,845060063639,38.90,68.78,59.74,LFE-50W-MCT-KN
WM-TC-FL-36W-RGBW-BT-BR,845060063738,197.90,347.78,299.74,TC-FL-36W-RGBW-BT-BR
WM-UHX-230W-MP-40K,845060074307,127.90,223.78,195.74,UHX-230W-MP-40K
WM-LVE-48-MCT-BN,845060063783,79.90,139.78,123.74,LVE-48-MCT-BN
WM-LLHB4-410W-50K-D-480V,845060073478,426.90,746.78,652.74,LLHB4-410W-50K-D-480V
WM-LLHB4-500W-50K-D-480V,845060073485,525.90,917.78,802.74,LLHB4-500W-50K-D-480V
WM-FDL-12-MCT5,845060062793,27.90,49.78,42.74,FDL-12-MCT5
WM-FDL-14-MCT5,845060062809,37.90,66.78,57.74,FDL-14-MCT5
WM-FDL-16-MCT5,845060062816,41.90,72.78,62.74,FDL-16-MCT5
