parent_sku,Child_sku,ProductId,Product Name,,,
TF-131A14L,TF-131A14L-J35W4300LDMV-40K,13409,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),4000K
TF-131A14L,TF-131A14L-J35W4300LDMV-50K,13410,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),5000K
TF-131A14L,TF-131A14L-J48W5800LDMV-30K,13411,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-131A14L,TF-131A14L-J48W5800LDMV-35K,13412,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-131A14L,TF-131A14L-J48W5800LDMV-40K,13413,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K
TF-131A14L,TF-131A14L-J48W5800LDMV-50K,13414,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-131A22L,TF-131A22L-F28W3200LDMV-30K*,13419,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),3000K
TF-131A22L,TF-131A22L-F28W3200LDMV-35K*,13420,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),3500K
TF-131A22L,TF-131A22L-F28W3200LDMV-40K*,13421,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),4000K
TF-131A22L,TF-131A22L-F28W3200LDMV-50K*,13422,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),5000K
TF-131A22L,TF-131A22L-F35W3900LDMV-30K*,13423,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3000K
TF-131A22L,TF-131A22L-F35W3900LDMV-35K*,13424,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3500K
TF-131A22L,TF-131A22L-F35W3900LDMV-40K*,13425,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),4000K
TF-131A22L,TF-131A22L-F35W3900LDMV-50K*,13426,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),5000K
TF-153A14L,TF-153A14L-J35W4300LDMV-30K,13435,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3000K
TF-153A14L,TF-153A14L-J35W4300LDMV-35K,13436,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3500K
TF-153A14L,TF-153A14L-J35W4300LDMV-40K,13437,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),4000K
TF-153A14L,TF-153A14L-J35W4300LDMV-50K,13438,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),5000K
TF-153A14L,TF-153A14L-J48W5800LDMV-30K,13439,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-153A14L,TF-153A14L-J48W5800LDMV-35K,13440,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-153A14L,TF-153A14L-J48W5800LDMV-40K,13441,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K
TF-153A14L,TF-153A14L-J48W5800LDMV-50K,13442,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-153A22L,TF-153A22L-J24W2700LDMV-30K,13443,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),3000K
TF-153A22L,TF-153A22L-J24W2700LDMV-35K,13444,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),3500K
