sku,upc_ean,cost-USD,msrp-USD,imap-USD
WM-LF3-WH-15WW-KN,845060047219,31.90,53.78,47.74
WM-LF3-WH-30WW-KN,845060047233,48.90,82.78,73.74
WM-LF3-WH-50CW-KN,845060047240,61.90,104.78,92.74
WM-LF3-WH-50WW-KN,845060047257,61.90,104.78,92.74
WM-FLH-10W-30K-BR,845060031423,20.22,33.78,29.74
WM-FLH-10W-50K-BR,845060031447,20.22,33.78,29.74
WM-FLH-10W-30K-WH,845060031430,20.22,33.78,29.74
WM-FLH-10W-50K-WH,845060031454,20.22,33.78,29.74
WM-FLS-10W-30K-BR,845060048162,20.22,33.78,29.74
WM-FLS-10W-50K-BR,845060048179,20.22,33.78,29.74
WM-FLS-10W-30K-WH,845060048186,20.22,33.78,29.74
WM-FLS-10W-50K-WH,845060048193,20.22,33.78,29.74
WM-SFX-G5-600W-30D-50K,845060030976,1381.90,2413.78,2185.74
WM-SFX-G5-1000W-30D-50K,845060030983,2032.90,3552.78,3216.74
WM-SFX-G5-SH1,845060030990,34.90,60.78,54.74
WM-SFX-G5-SH2,845060031003,41.90,72.78,66.74
WM-SFX-G5-SF,845060031010,49.90,87.78,79.74
WM-SFX-G5-RB,845060031027,59.90,104.78,94.74
WM-SFX-POINTER,845060031034,71.90,125.78,113.74
WM-LF4-12CW-KN,845060004007,28.98,46.78,40.74
WM-LF4-30CW-KN,845060004045,49.98,79.78,70.74
WM-LF4-50CW-KN,845060004106,64.98,103.78,91.74
WM-LF4-50WW-KN,845060004113,64.98,103.78,91.74
WM-LF4-80CW-SF,845060004144,110.98,176.78,156.74
WM-LF4-80WW-SF,845060004151,110.98,176.78,156.74
WM-LF4-100CW-SF,845060004182,129.98,206.78,183.74
WM-LF4-100WW-SF,845060004199,129.98,206.78,183.74
WM-LF4-150CW-SF,845060004663,135.98,215.78,191.74
WM-LF4-150WW-SF,845060004656,135.98,215.78,191.74
WM-LF4-12CW-TR,845060004021,28.98,46.78,40.74
WM-LF4-30CW-TR,845060004069,44.98,71.78,63.74
WM-LF4-30WW-TR,845060004076,44.98,71.78,63.74
WM-LF4-50CW-TR,845060004083,63.98,101.78,90.74
WM-LF4-80CW-TR,845060004120,107.98,171.78,152.74
WM-LF4-80WW-TR,845060004137,107.98,171.78,152.74
WM-LF4-100CW-TR,845060004168,128.98,204.78,181.74
WM-LF4-100WW-TR,845060004175,128.98,204.78,181.74
WM-LF4-150CW-TR,845060004687,130.98,207.78,184.74
WM-LF4-150WW-TR,845060004670,130.98,207.78,184.74
WM-LF5-380CW-480V,845060006933,342.98,544.78,482.74
