parent_sku,child_sku,"Lens Options","Color Temperature (CCT)"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-40,"No Lens",4000K
ILP-RZ8-40W-U,ILP-RZ8-40W-U-40-FRAL,"Frosted Acrylic Lens",4000K
ILP-RZ8-40W-U,ILP-RZ8-40W-U-50,"No Lens",5000K
ILP-RZ8-40W-U,ILP-RZ8-40W-U-50-FRAL,"Frosted Acrylic Lens",5000K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-30,"No Lens",3000K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-30-FRAL,"Frosted Acrylic Lens",3000K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-35,"No Lens",3500K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-35-FRAL,"Frosted Acrylic Lens",3500K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-40,"No Lens",4000K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-40-FRAL,"Frosted Acrylic Lens",4000K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-50,"No Lens",5000K
ILP-RZ4-32W-U,ILP-RZ4-32W-U-50-FRAL,"Frosted Acrylic Lens",5000K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-30-CAL,"Clear Acrylic Lens",3000K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-30-FRAL,"Frosted Acrylic Lens",3000K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-35-CAL,"Clear Acrylic Lens",3500K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-35-FRAL,"Frosted Acrylic Lens",3500K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-40-CAL,"Clear Acrylic Lens",4000K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-40-FRAL,"Frosted Acrylic Lens",4000K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-50-CAL,"Clear Acrylic Lens",5000K
ILP-HZB2-18L-U,ILP-HZB2-18L-U-50-FRAL,"Frosted Acrylic Lens",5000K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-30,"No Lens",3000K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-30-FRAL,"Frosted Acrylic Lens",3000K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-35,"No Lens",3500K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-35-FRAL,"Frosted Acrylic Lens",3500K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-40,"No Lens",4000K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-40-FRAL,"Frosted Acrylic Lens",4000K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-50,"No Lens",5000K
ILP-RZ8-64W-U,ILP-RZ8-64W-U-50-FRAL,"Frosted Acrylic Lens",5000K
ILP-EDV-15L-U,ILP-EDV-15L-U-30,"No Lens",3000K
ILP-EDV-15L-U,ILP-EDV-15L-U-30-FRAL,"Frosted Acrylic Lens",3000K
ILP-EDV-15L-U,ILP-EDV-15L-U-35,"No Lens",3500K
ILP-EDV-15L-U,ILP-EDV-15L-U-35-FRAL,"Frosted Acrylic Lens",3500K
ILP-EDV-15L-U,ILP-EDV-15L-U-40,"No Lens",4000K
ILP-EDV-15L-U,ILP-EDV-15L-U-40-FRAL,"Frosted Acrylic Lens",4000K
ILP-EDV-15L-U,ILP-EDV-15L-U-50,"No Lens",5000K
ILP-EDV-15L-U,ILP-EDV-15L-U-50-FRAL,"Frosted Acrylic Lens",5000K
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-40K-C,Clear,4000K
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-40K-F,Frosted,4000K
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-50K-C,Clear,5000K
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-50K-F,Frosted,5000K
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-40K-C,Clear,4000K
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-40K-F,Frosted,4000K
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-50K-C,Clear,5000K
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-50K-F,Frosted,5000K
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-40K-C,Clear,4000K
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-40K-F,Frosted,4000K
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-50K-C,Clear,5000K
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-50K-F,Frosted,5000K
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-30K-C,Clear,3000K
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-30K-F,Frosted,3000K
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-35K-C,Clear,3500K
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-35K-F,Frosted,3500K
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-40K-C,Clear,4000K
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-40K-F,Frosted,4000K
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-50K-C,Clear,5000K
