parent_sku,child_sku,"Wattage Options","Color Temperature (CCT)"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-35K,"32 Watts",3500K
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-40K,"32 Watts",4000K
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-50K,"32 Watts",5000K
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-30K,"48 Watts",3000K
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-35K,"48 Watts",3500K
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-40K,"48 Watts",4000K
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-50K,"48 Watts",5000K
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-30K,"57 Watts",3000K
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-35K,"57 Watts",3500K
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-40K,"57 Watts",4000K
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-50K,"57 Watts",5000K
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-30K,"28 Watts",3000K
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-35K,"28 Watts",3500K
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-40K,"28 Watts",4000K
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-50K,"28 Watts",5000K
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-30K,"35 Watts",3000K
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-35K,"35 Watts",3500K
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-40K,"35 Watts",4000K
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-50K,"35 Watts",5000K
TF-EWW24L,TF-EWW24L-J24W1600LDMV-30K,"24 Watts",3000K
TF-EWW24L,TF-EWW24L-J24W1600LDMV-35K,"24 Watts",3500K
