product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","Light Source Options","Select Light Source","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options"
714,TF-PLIN232MV,TF-PLIN232MV-WHHC401WH,350,350,,,,0,,White,,,,,,,,,,,
714,TF-PLIN232MV,TF-PLIN232MV-SLHC401WH,397.15,397.15,,,,0,,"Metallic Silver",,,,,,,,,,,
714,TF-PLIN232MV,TF-PLIN232MV-RDHC401WH,397.15,397.15,,,,0,,Red,,,,,,,,,,,
714,TF-PLIN232MV,TF-PLIN232MV-INHC401WH,397.15,397.15,,,,0,,Iron,,,,,,,,,,,
716,TF-PLIN2548MV,TF-PLIN2548MV-WHHC401WH,675.72,675.72,,,,0,,White,,,,,,,,,,,
716,TF-PLIN2548MV,TF-PLIN2548MV-SLWHC401WH,742.86,742.86,,,,0,,"Metallic Silver",,,,,,,,,,,
718,TF-PLIN254MV,TF-PLIN254MV-WHHC401WH,397.15,397.15,,,,0,,White,,,,,,,,,,,
718,TF-PLIN254MV,TF-PLIN254MV-SLHC401WH,444.3,444.3,,,,0,,"Metallic Silver",,,,,,,,,,,
720,TF-PLIN3548MV,TF-PLIN3548MV-WHHC401WH,744.3,744.3,,,,0,,White,,,,,,,,,,,
720,TF-PLIN3548MV,TF-PLIN3548MV-SLHC401WH,814.3,814.3,,,,0,,"Metallic Silver",,,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS08,116.3,116.3,,,,0,,,"3500K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS08,116.3,116.3,,,,0,,,,"8’ 3/18 Cord, no plug",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS,117.8,117.8,,,,0,,,"3500K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS,117.8,117.8,,,,0,,,,"8’ Cordset 120V, 3-WIRE, NEMA 5-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS10,117,117,,,,0,,,"3500K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS10,117,117,,,,0,,,,"12’ 3/18 Cord, no plug",,,,,,,,,
