product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage Options","Color Temperature (CCT)","Fixture Options","Beam Angle Options","Connector Type Options","Finish Options","Letter Color Options","Wattage & Lumen Options","Trimplate Options","Length & Wattage Options","Lens Options","Occupancy Sensor","Trim Options","Sensor Options","Battery Options","Size & Wattage Options","Size, Wattage & Lumen Options","Factory Installed Lamps","Mounting Kit","Wiring Options","Voltage Options","Control Options","Fixture Configuration","Mounting Options","Photo Cell","Wattage and Lumen Options","Square Trims Ring Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options"
11346,PI-PT-DLSM-S-7I-15W-3CCT,PI-PT-DLSM-S-7I-15W-3CCT-BN,28.5,28.5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brush Nickel",,
11347,PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BK,19.84,19.84,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,
11347,PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BZ,19.84,19.84,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronze,,,
11347,PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BN,20.8,20.8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brush Nickel",,,
11348,PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BK,35.24,35.24,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,
11348,PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BZ,35.94,35.94,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronze,,
11348,PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BN,36.9,36.9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brush Nickel",,
11349,PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BK,32.7,32.7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,
11349,PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BZ,32.7,32.7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronze,,,
11349,PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BN,33.65,33.65,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brush Nickel",,,
11357,LOD-12WT83FT,LOD-12WT83FT-40K-CASE30,,235.72,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11357,LOD-12WT83FT,LOD-12WT83FT-50K-CASE30,,235.72,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11359,LOD-T88FT-38W,"LOD-T88FT-38W40KPAF B (G13)",16.43,16.43,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
