"id","product_id","parent_sku","child_sku"
"70","2291","DG-HLV4AOQ","DG-HLV4AOQ-F112-U-40K-CP,DG-HLV4AOQ-F112-U-40K-LP,DG-HLV4AOQ-F112-U-50K-CP,DG-HLV4AOQ-F112-U-50K-LP,DG-HLV4AOQ-F112-H-40K-CP,DG-HLV4AOQ-F112-H-40K-LP,DG-HLV4AOQ-F112-H-50K-CP,DG-HLV4AOQ-F112-H-50K-LP,DG-HLV4AOQ-F136-U-40K-CP,DG-HLV4AOQ-F136-U-40K-LP,DG-HLV4AOQ-F136-U-50K-CP,DG-HLV4AOQ-F136-U-50K-LP,DG-HLV4AOQ-F136-H-40K-CP,DG-HLV4AOQ-F136-H-40K-LP,DG-HLV4AOQ-F136-H-50K-CP,DG-HLV4AOQ-F136-H-50K-LP"
"71","2297","DG-DTRBQF1X15UHA","DG-DTRBQF1X15UHA-BR,DG-DTRBQF1X15UHA-BR-36,DG-DTRBQF1X15UHA-BR-30,DG-DTRBQF1X15UHA-BL,DG-DTRBQF1X15UHA-BL-36,DG-DTRBQF1X15UHA-BL-30"
"72","2313","DG-HLV2AOQ","DG-HLV2AOQ-F47-U-40K-CP,DG-HLV2AOQ-F47-U-40K-LP,DG-HLV2AOQ-F47-U-50K-CP,DG-HLV2AOQ-F47-U-50K-LP,DG-HLV2A580OQ-F47-H-40K-CP,DG-HLV2AOQ-F47-H-40K-LP,DG-HLV2AOQ-F47-H-50K-CP,DG-HLV2AOQ-F47-H-50K-LP,DG-HLV2AOQ-F66-U-40K-CP,DG-HLV2AOQ-F66-U-40K-LP,DG-HLV2AOQ-F66-U-50K-CP,DG-HLV2AOQ-F66-U-50K-LP,DG-HLV2AOQ-F66-H-40K-CP,DG-HLV2AOQ-F66-H-40K-LP,DG-HLV2AOQ-F66-H-50K-CP,DG-HLV2AOQ-F66-H-50K-LP"
"73","2356","TF-131A14L","TF-131A14L-J35W4300LDMV-30K,TF-131A14L-J35W4300LDMV-35K,TF-131A14L-J35W4300LDMV-40K,TF-131A14L-J35W4300LDMV-50K,TF-131A14L-J48W5800LDMV-30K,TF-131A14L-J48W5800LDMV-35K,TF-131A14L-J48W5800LDMV-40K,TF-131A14L-J48W5800LDMV-50K"
"74","2357","TF-131A22L","TF-131A22L-F28W3200LDMV-30K*,TF-131A22L-F28W3200LDMV-35K*,TF-131A22L-F28W3200LDMV-40K*,TF-131A22L-F28W3200LDMV-50K*,TF-131A22L-F35W3900LDMV-30K*,TF-131A22L-F35W3900LDMV-35K*,TF-131A22L-F35W3900LDMV-40K*,TF-131A22L-F35W3900LDMV-50K*"
"75","2362","BL-RH-WP","BL-RH-WP-1,BL-RH-WP-2"
"76","2365","TF-128A24L","TF-128A24L-J35W4600LDMV40K,TF-128A24L-J48W6300LDMV40K,TF-128A24L-J57W7100LDMV40K"
"77","2366","TF-128A14L","TF-128A14L-J35W3450LDMV40K,TF-128A14L-J48W4800LDMV40K"
"78","2370","TF-153A14L","TF-153A14L-J35W4300LDMV-30K,TF-153A14L-J35W4300LDMV-35K,TF-153A14L-J35W4300LDMV-40K,TF-153A14L-J35W4300LDMV-50K,TF-153A14L-J48W5800LDMV-30K,TF-153A14L-J48W5800LDMV-35K,TF-153A14L-J48W5800LDMV-40K,TF-153A14L-J48W5800LDMV-50K"
"79","2374","TF-153A22L","TF-153A22L-J24W2700LDMV-30K,TF-153A22L-J24W2700LDMV-35K,TF-153A22L-J24W2700LDMV-40K,TF-153A22L-J24W2700LDMV-50K,TF-153A22L-J28W3200LDMV-30K,TF-153A22L-J28W3200LDMV-35K,TF-153A22L-J28W3200LDMV-40K,TF-153A22L-J28W3200LDMV-50K,TF-153A22L-J35W3900LDMV-30K,TF-153A22L-J35W3900LDMV-35K,TF-153A22L-J35W3900LDMV-40K,TF-153A22L-J35W3900LDMV-50K"
