id,parent_sku,product_id,description,image_file,url_zoom,url_standard,url_thumbnail,url_tiny
11379,DG-CP30Q,6262,"DuraGuard LED Sculptor Small Round Canopy Size",r/295/duraguard_led_sculptor_small_round_canopy_size__12301.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6262/images/11379/duraguard_led_sculptor_small_round_canopy_size__12301.1626267233.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6262/images/11379/duraguard_led_sculptor_small_round_canopy_size__12301.1626267233.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6262/images/11379/duraguard_led_sculptor_small_round_canopy_size__12301.1626267233.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6262/images/11379/duraguard_led_sculptor_small_round_canopy_size__12301.1626267233.44.58.jpg?c=1
11380,DG-CP20QF1X186,6263,"20-Inch LED 186 Watt Gas Station Canopy",t/501/duraguard_186_watt_led_20_gas_station_canopy__96842.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11380/duraguard_186_watt_led_20_gas_station_canopy__96842.1661439190.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11380/duraguard_186_watt_led_20_gas_station_canopy__96842.1661439190.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11380/duraguard_186_watt_led_20_gas_station_canopy__96842.1661439190.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11380/duraguard_186_watt_led_20_gas_station_canopy__96842.1661439190.44.58.jpg?c=1
11381,DG-CP20QF1X186,6263,"20-Inch LED 186 Watt Gas Station Canopy Size",w/774/duraguard_186_watt_led_20_gas_station_canopy_size__76424.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11381/duraguard_186_watt_led_20_gas_station_canopy_size__76424.1661439191.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11381/duraguard_186_watt_led_20_gas_station_canopy_size__76424.1661439191.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11381/duraguard_186_watt_led_20_gas_station_canopy_size__76424.1661439191.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6263/images/11381/duraguard_186_watt_led_20_gas_station_canopy_size__76424.1661439191.44.58.jpg?c=1
11382,DG-CP16QF1X112,6264,"16-Inch LED 112 Watt Gas Station Canopy Type V",b/157/duraguard_112_watt_led_16_gas_station_canopy__77904.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11382/duraguard_112_watt_led_16_gas_station_canopy__77904.1661439477.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11382/duraguard_112_watt_led_16_gas_station_canopy__77904.1661439477.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11382/duraguard_112_watt_led_16_gas_station_canopy__77904.1661439477.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11382/duraguard_112_watt_led_16_gas_station_canopy__77904.1661439477.44.58.jpg?c=1
11383,DG-CP16QF1X112,6264,"16-Inch LED 112 Watt Gas Station Canopy Type V Size",b/731/duraguard_112_watt_led_16_gas_station_canopy_size__15715.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11383/duraguard_112_watt_led_16_gas_station_canopy_size__15715.1661439477.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11383/duraguard_112_watt_led_16_gas_station_canopy_size__15715.1661439477.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11383/duraguard_112_watt_led_16_gas_station_canopy_size__15715.1661439477.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6264/images/11383/duraguard_112_watt_led_16_gas_station_canopy_size__15715.1661439477.44.58.jpg?c=1
11390,DG-RBFQF1X40,6271,"40 Watt LED Round Back Flood",a/672/duraguard_40_watt_led_round_back_flood__55624.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11390/duraguard_40_watt_led_round_back_flood__55624.1661440440.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11390/duraguard_40_watt_led_round_back_flood__55624.1661440440.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11390/duraguard_40_watt_led_round_back_flood__55624.1661440440.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11390/duraguard_40_watt_led_round_back_flood__55624.1661440440.44.58.jpg?c=1
11391,DG-RBFQF1X40,6271,"40 Watt LED Round Back Flood Size",l/161/duraguard_40_watt_led_round_back_flood_size__13971.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11391/duraguard_40_watt_led_round_back_flood_size__13971.1661440440.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11391/duraguard_40_watt_led_round_back_flood_size__13971.1661440440.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11391/duraguard_40_watt_led_round_back_flood_size__13971.1661440440.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6271/images/11391/duraguard_40_watt_led_round_back_flood_size__13971.1661440440.44.58.jpg?c=1
11394,TF-CLLLBF,6274,"Series CLLLBF LED Linear Direct/Indirect Lighting Channel",o/048/series_clllbf_led_linear_directindirect_lighting_channel_1__50937.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11394/series_clllbf_led_linear_directindirect_lighting_channel_1__50937.1626267701.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11394/series_clllbf_led_linear_directindirect_lighting_channel_1__50937.1626267701.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11394/series_clllbf_led_linear_directindirect_lighting_channel_1__50937.1626267701.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11394/series_clllbf_led_linear_directindirect_lighting_channel_1__50937.1626267701.44.58.jpg?c=1
11395,TF-CLLLBF,6274,"Series CLLLBF LED Linear DirectIndirect Lighting Channel",v/651/series_clllbf_led_linear_directindirect_lighting_channel_2__68368.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11395/series_clllbf_led_linear_directindirect_lighting_channel_2__68368.1626267702.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11395/series_clllbf_led_linear_directindirect_lighting_channel_2__68368.1626267702.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11395/series_clllbf_led_linear_directindirect_lighting_channel_2__68368.1626267702.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11395/series_clllbf_led_linear_directindirect_lighting_channel_2__68368.1626267702.44.58.jpg?c=1
11396,TF-CLLLBF,6274,"Series CLLLBF LED Linear DirectIndirect Lighting Channel",i/713/series_clllbf_led_linear_directindirect_lighting_channel_3__01328.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11396/series_clllbf_led_linear_directindirect_lighting_channel_3__01328.1626267703.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11396/series_clllbf_led_linear_directindirect_lighting_channel_3__01328.1626267703.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11396/series_clllbf_led_linear_directindirect_lighting_channel_3__01328.1626267703.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11396/series_clllbf_led_linear_directindirect_lighting_channel_3__01328.1626267703.44.58.jpg?c=1
