parent_sku,child_sku,"Size & Wattage Options","Color Temperature (CCT)"
TF-SBCP,TF-SBCP-24X24LPD22DMVWH-40K,"24""W x 24""L - 22 Watts & 2200 Lumens",4000K
TF-SBCP,TF-SBCP-24X24LPD22DMVWH-50K,"24""W x 24""L - 22 Watts & 2200 Lumens",5000K
TF-SBCP,TF-SBCP-24X48LPD44DMVWH-30K,"24"" W x 48""L - 44 Watts & 4400 Lumens",3000K
TF-SBCP,TF-SBCP-24X48LPD44DMVWH-35K,"24"" W x 48""L - 44 Watts & 4400 Lumens",3500K
TF-SBCP,TF-SBCP-24X48LPD44DMVWH-40K,"24"" W x 48""L - 44 Watts & 4400 Lumens",4000K
TF-SBCP,TF-SBCP-24X48LPD44DMVWH-50K,"24"" W x 48""L - 44 Watts & 4400 Lumens",5000K
TF-SBCP,TF-SBCP-48X48LPD88DMVWH-30K,"48"" W x 48""L - 88 Watts & 8800 Lumens",3000K
TF-SBCP,TF-SBCP-48X48LPD88DMVWH-35K,"48"" W x 48""L - 88 Watts & 8800 Lumens",3500K
TF-SBCP,TF-SBCP-48X48LPD88DMVWH-40K,"48"" W x 48""L - 88 Watts & 8800 Lumens",4000K
TF-SBCP,TF-SBCP-48X48LPD88DMVWH-50K,"48"" W x 48""L - 88 Watts & 8800 Lumens",5000K
TF-ICFFR,TF-ICFFR-12X48LJD48DMVWHFP01-30K,"12""W x 48""L - 48 Watts & 5800 Lumens - LINES",3000K
TF-ICFFR,TF-ICFFR-12X48LJD48DMVWHFP01-35K,"12""W x 48""L - 48 Watts & 5800 Lumens - LINES",3500K
TF-ICFFR,TF-ICFFR-12X48LJD48DMVWHFP01-40K,"12""W x 48""L - 48 Watts & 5800 Lumens - LINES",4000K
TF-ICFFR,TF-ICFFR-12X48LJD48DMVWHFP01-50K,"12""W x 48""L - 48 Watts & 5800 Lumens - LINES",5000K
