product_id,parent_sku,child_sku,"Color Temperature (CCT)","Finish Options","Light Source Options","Select Light Source","End Cap Finish Options","Letter Color Options","Wattage Options","Main Cable Length","Select Size","Metal Trim Ring Finish","Wattage & Lumen Options","Finial & Globe Options","Lamp / Ballast Options","Lamp & Ballast Options","Fixture Options","Control Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options","[RB]Color Temperature (CCT)",Reflector,Color,"Color Temperature","Select Size (W x L)","Voltage Options","Length/Wattage Options","Mounting Options","Color Te\mperature (CCT)","Housing Color Options","Size & Wattage Options","Rod Set Options","Spool Length","Lamp Options","Lens Options","Size & Lamps Options","Watts & Bollard Options","Wattage & VA Rating","Wattage & Battery Type","Wattage & Lens Options","Soft Connector Options","Cable Options","Battery Options","Sensor Options","Distribution Options","Voltage Rating Options","Beam Angle Options",Lumens,Testing,"Dimming Options","CCT Options","Finish Option","Output Wattage Options","Number of Channels & Wattage Options","Length / Wattage Options","Length & Wattage Options"
10406,TF-LINLV354MV,TF-LINLV354MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407,TF-LINLV354MV,TF-LINLV354MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408,TF-LINMW2328MV,TF-LINMW2328MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10409,TF-LINMW2328MV,TF-LINMW2328MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10410,TF-LINMW2328MV,TF-LINMW2328MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411,TF-LINMW2328MV,TF-LINMW2328MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10412,TF-LINMW2328MV,TF-LINMW2328MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10413,TF-LINMW232MV,TF-LINMW232MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10414,TF-LINMW232MV,TF-LINMW232MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10415,TF-LINMW232MV,TF-LINMW232MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10416,TF-LINMW232MV,TF-LINMW232MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10417,TF-LINMW2548MV,TF-LINMW2548MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10418,TF-LINMW2548MV,TF-LINMW2548MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10419,TF-LINMW2548MV,TF-LINMW2548MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,TF-LINMW2548MV,TF-LINMW2548MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10421,TF-LINMW2548MV,TF-LINMW2548MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10422,TF-LINMW254MV,TF-LINMW254MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10423,TF-LINMW254MV,TF-LINMW254MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10424,TF-LINMW254MV,TF-LINMW254MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10425,TF-LINMW254MV,TF-LINMW254MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10426,TF-LINMW3548MV,TF-LINMW3548MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10427,TF-LINMW3548MV,TF-LINMW3548MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10428,TF-LINMW3548MV,TF-LINMW3548MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10429,TF-LINMW3548MV,TF-LINMW3548MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10430,TF-LINMW3548MV,TF-LINMW3548MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10431,TF-LINMW354MV,TF-LINMW354MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10432,TF-LINMW354MV,TF-LINMW354MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433,TF-LINMW354MV,TF-LINMW354MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434,TF-LINMW354MV,TF-LINMW354MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10435,TF-LINMW354MV,TF-LINMW354MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10463,TF-PLIN2328MV,TF-PLIN2328MV-WHHC401WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10464,TF-PLIN2328MV,TF-PLIN2328MV-SLHC401WH,,"Metallic Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10465,TF-PLIN2328MV,TF-PLIN2328MV-RDHC401WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10466,TF-PLIN2328MV,TF-PLIN2328MV-INHC401WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
