product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Optics Options","Voltage Options","Color Temperature (CCT)","Lens Options","Finish Options"
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LB,1105.75,1105.75,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LB,1105.75,1105.75,,,,0,,120-277v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LB,1105.75,1105.75,,,,0,,,5000K,,
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LB,1105.75,1105.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-U-5K-LB,1105.75,1105.75,,,,0,,,,,Black
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CZ,1165.75,1165.75,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CZ,1165.75,1165.75,,,,0,,347-480v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CZ,1165.75,1165.75,,,,0,,,"3000K (37w, 65w Only)",,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CZ,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CZ,1165.75,1165.75,,,,0,,,,,Bronze
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CB,1165.75,1165.75,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CB,1165.75,1165.75,,,,0,,347-480v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CB,1165.75,1165.75,,,,0,,,"3000K (37w, 65w Only)",,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CB,1165.75,1165.75,,,,0,,,,"Clear UV-Stabilized Polycarbonate Array Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-CB,1165.75,1165.75,,,,0,,,,,Black
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LZ,1238.6,1238.6,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LZ,1238.6,1238.6,,,,0,,347-480v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LZ,1238.6,1238.6,,,,0,,,"3000K (37w, 65w Only)",,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LZ,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LZ,1238.6,1238.6,,,,0,,,,,Bronze
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LB,1238.6,1238.6,,,,0,"65 Watts / Type V",,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LB,1238.6,1238.6,,,,0,,347-480v,,,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LB,1238.6,1238.6,,,,0,,,"3000K (37w, 65w Only)",,
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LB,1238.6,1238.6,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",
2711,DG-AFS30Q,DG-AFS30QF1X65-H-3K-LB,1238.6,1238.6,,,,0,,,,,Black
